,명사,횟수
0,점착력,1
1,남광,1
2,칼의,1
3,점착,1
4,폭시,1
5,구진,1
6,몸길이,1
7,군위군,1
8,작목,1
9,부수입,1
10,논바닥,1
11,벼,1
12,잡초,1
13,원와,1
14,가격대,1
15,문성준,1
16,고령,1
17,먹이생물,1
18,안동,1
19,배소영,1
20,캐슈,1
21,넛,1
22,고기능,1
23,끓는점,1
24,소수성,1
25,용해,1
26,이보람,1
27,이우중,1
28,적지,1
29,지자,1
30,체장,1
31,표출,1
32,레저,1
33,고상,1
34,공항버스,1
35,청소차,1
36,압축천연가스,1
37,종과,1
38,송하진,1
39,전북지사,1
40,노총,1
41,강임준,1
42,강당,1
43,요람,1
44,안승진,1
45,쇠퇴,1
46,르네상스,1
47,관영,1
48,연합국,1
49,점령,1
50,운영난,1
51,재정난,1
52,조사회,1
53,파탄,1
54,결여,1
55,호전,1
56,운송업,1
57,코레,1
58,전념,1
59,통행료,1
60,면액,1
61,저해,1
62,대표부,1
63,정동길,1
64,이영균,1
65,집합,1
66,주정,1
67,참치,1
68,일식집,1
69,자카야,1
70,주점,1
71,요식,1
72,빈도,1
73,일러스트,1
74,휴양지,1
75,소줏집,1
76,소주방,1
77,소개팅,1
78,데이트,1
79,레몬,1
80,밀키스,1
81,뉴트,1
82,미생물학,1
83,김진만,1
84,증류주,1
85,취청,1
86,송충,1
87,동고동락,1
88,우면산,1
89,서형원,1
90,주막,1
91,탁주,1
92,유리병,1
93,마시,1
94,가양주,1
95,김제,1
96,찹쌀,1
97,멥쌀,1
98,설화,1
99,오양,1
100,침전물,1
101,김수미,1
102,박재범,1
103,할리우드,1
104,미남,1
105,조지,1
106,클루니,1
107,마동석,1
108,드웨인,1
109,로코,1
110,여신,1
111,드류,1
112,베리모어,1
113,라이언,1
114,레이놀즈,1
115,바이어,1
116,알프스,1
117,자락,1
118,맛집,1
119,김민규,1
120,궁여지책,1
121,가결,1
122,동문,1
123,득점,1
124,재학생,1
125,입체,1
126,자평,1
127,창업자,1
128,뜰,1
129,디딤돌,1
130,응력,1
131,교협,1
132,양교,1
133,교원,1
134,강사,1
135,학기,1
136,코딩,1
137,고등,1
138,곽병선,1
139,본궤도,1
140,멤버,1
141,팬덤,1
142,민성원,1
143,곡류,1
144,공주,1
145,영양학,1
146,김미현,1
147,이승구,1
148,양재점,1
149,보루,1
150,효용,1
151,무궁무진,1
152,미곡,1
153,울분,1
154,현행법,1
155,경영비,1
156,최윤재,1
157,관할,1
158,이베리아,1
159,정철동,1
160,김성희,1
161,파파,1
162,존스,1
163,서창우,1
164,서해안,1
165,로점,1
166,월점,1
167,성점,1
168,협재,1
169,사배,1
170,베타,1
171,송배전,1
172,전력망,1
173,김정모,1
174,이선,1
175,이정훈,1
176,강일,1
177,여울,1
178,암사,1
179,상일,1
180,길동,1
181,강동,1
182,일인,1
183,유기질,1
184,배부,1
185,구좌,1
186,칸막이,1
187,중랑,1
188,청란,1
189,유수,1
190,수생,1
191,서식지,1
192,최송,1
193,학습장,1
194,저류지,1
195,갑,1
196,의령군,1
197,호우,1
198,휴장,1
199,원상,1
200,휴일,1
201,구슬땀,1
202,의령,1
203,령,1
204,최판,1
205,주재료,1
206,약주,1
207,박과,1
208,호박,1
209,왕실,1
210,궁중,1
211,장아찌,1
212,정과,1
213,임진왜란,1
214,수군,1
215,음료수,1
216,부종,1
217,탈수,1
218,혈당,1
219,지질,1
220,대사,1
221,맥,1
222,사천,1
223,남상주,1
224,별세,1
225,남태우,1
226,특작,1
227,부친상,1
228,청주,1
229,장례식장,1
230,분향소,1
231,발인,1
232,현수,1
233,인수인계,1
234,한현수,1
235,보탬,1
236,홍문식,1
237,호가,1
238,선령,1
239,너비,1
240,흘수,1
241,속력,1
242,노트,1
243,권순기,1
244,실습,1
245,다대,1
246,항진,1
247,근간,1
248,남한,1
249,정서,1
250,현암,1
251,대교,1
252,교문,1
253,평야,1
254,계획법,1
255,팔당,1
256,상수원,1
257,중첩,1
258,급행,1
259,원주,1
260,강천,1
261,수서,1
262,광주선,1
263,여주역,1
264,김연일,1
265,능동,1
266,이삼걸,1
267,동애등에,1
268,홍상수,1
269,한영민,1
270,구례군,1
271,지리산,1
272,선풍,1
273,피복,1
274,타작,1
275,복기,1
276,콤바인,1
277,김순호,1
278,구례,1
279,양관,1
280,셰어,1
281,교통량,1
282,서정익,1
283,통보,1
284,군친,1
285,권은경,1
286,양구,1
287,오경,1
288,임병운,1
289,관행,1
290,유기산,1
291,김발,1
292,뒤집기,1
293,햇볕,1
294,곱,1
295,우량종자,1
296,감소분,1
297,물김,1
298,락지,1
299,산란장,1
300,새조개,1
301,바지락,1
302,키조개,1
303,행운,1
304,후반기,1
305,메카스,1
306,포츠,1
307,문림,1
308,공경,1
309,정남진,1
310,미래학자,1
311,토플러,1
312,피터,1
313,드러커,1
314,밥상,1
315,임용,1
316,보령시,1
317,어장,1
318,합성섬유,1
319,김동일,1
320,이건영,1
321,모형,1
322,김현조,1
323,김윤미,1
324,일가,1
325,학부모,1
326,구가,1
327,도농,1
328,공수,1
329,급식소,1
330,박창복,1
331,시비량,1
332,박현호,1
333,소풍,1
334,초월읍,1
335,태연,1
336,김광기,1
337,정돈,1
338,지봉유설,1
339,일년감,1
340,한자,1
341,가지과,1
342,덩굴성,1
343,무기질,1
344,엽산,1
345,칼륨,1
346,활성산소,1
347,노화,1
348,양액,1
349,재배지,1
350,서하,1
351,잡곡,1
