,명사,횟수
0,십,11
1,주범,11
2,복,11
3,운동가,11
4,입자,11
5,개도국,11
6,뚜껑,11
7,도착,11
8,센트럴,11
9,자본,11
10,웹,11
11,함유,11
12,팀장,11
13,번가,11
14,응원,11
15,명함,11
16,구미,11
17,비상,11
18,분사,11
19,병원,11
20,충격,11
21,입점,11
22,중견,11
23,노사,11
24,대구,11
25,블록,11
26,유틸리티,11
27,대학교,11
28,액화천연가스,11
29,구상,11
30,지도,11
31,마리,11
32,신선,11
33,의존,11
34,벌,11
35,교통부,11
36,명칭,11
37,조화,11
38,항,11
39,시행령,11
40,사탕수수,11
41,출하,11
42,서식,11
43,허브,11
44,조립,11
45,의약품,11
46,양국,11
47,이웃,11
48,번영,11
49,고품질,11
50,쓰리,11
51,춘천시,11
52,숨,11
53,운전,11
54,노출,11
55,부서,11
56,고자,11
57,경남,11
58,페이퍼,11
59,대원,11
60,아이템,11
61,개편,11
62,채식,11
63,전화,11
64,공학,11
65,최다,11
66,콜드,11
67,배양,11
68,야경,11
69,플리츠,11
70,마마,11
71,현수막,11
72,셰프,11
73,퇴비,11
74,식혜,11
75,플라잉,11
76,피카르,11
77,아리수,11
78,쿠폰,10
79,대나무,10
80,개혁,10
81,충족,10
82,결제,10
83,핫,10
84,식민지,10
85,브,10
86,배경,10
87,클라우드,10
88,닭,10
89,분위기,10
90,상위,10
91,육상,10
92,아버지,10
93,옆,10
94,원재료,10
95,보,10
96,가이드,10
97,초과,10
98,아웃,10
99,쌍,10
100,전쟁,10
101,공,10
102,경기장,10
103,상담,10
104,부정,10
105,의,10
106,헬스,10
107,한겨레,10
108,노조,10
109,유망,10
110,사외,10
111,피,10
112,버,10
113,마찬가지,10
114,씹,10
115,위주,10
116,장려,10
117,격차,10
118,원자재,10
119,브라질,10
120,주말,10
121,탄소세,10
122,채,10
123,포기,10
124,비닐봉지,10
125,유식,10
126,동네,10
127,이유식,10
128,상용차,10
129,폭발,10
130,기조,10
131,다이어트,10
132,전사,10
133,전문점,10
134,봉지,10
135,인쇄,10
136,유진,10
137,열풍,10
138,토크,10
139,단점,10
140,식기,10
141,포스트,10
142,해소,10
143,수확,10
144,민족,10
145,예약,10
146,충북,10
147,내구,10
148,포드,10
149,초청,10
150,뒷받침,10
151,믹,10
152,블,10
153,간담회,10
154,열분,10
155,계열,10
156,집단,10
157,조선소,10
158,상단,10
159,잉크,10
160,모니터링,10
161,가시,10
162,그래픽,10
163,보존,10
164,사무소,10
165,탈바꿈,10
166,기업인,10
167,공용,10
168,참가자,10
169,맹정호,10
170,위협,10
171,보완,10
172,선사,10
173,제정,10
174,바로사,10
175,라이,10
176,인원,10
177,견인,10
178,동포,10
179,직후,10
180,항구,10
181,팝,10
182,배려,10
183,공존,10
184,외국,10
185,쌀겨,10
186,해양수산부,10
187,출연,10
188,농축,10
189,발수,10
190,발족,10
191,강서구,10
192,남해안,10
193,남중,10
194,명소,10
195,니로,10
196,부표,10
197,차용,10
198,재,10
199,해변,10
200,축발,10
201,화이트,10
202,제일제당,10
203,맥스,10
204,최우선,10
205,판로,10
206,중간,10
207,건설사,10
208,구청,10
209,선발,10
210,나우,10
211,남동,10
212,응답,10
213,동춘,10
214,요리사,10
215,희토류,10
216,우산,10
217,스퍼,10
218,소울,10
219,링북,10
220,태양열,9
221,검색,9
222,변신,9
223,목소리,9
224,개소,9
225,표시,9
226,공영,9
227,개국,9
228,화상,9
229,출고,9
230,소모,9
231,구입,9
232,복구,9
233,이걸,9
234,나중,9
235,이득,9
236,제약,9
237,급등,9
238,장바구니,9
239,연장,9
240,고가,9
241,타입,9
242,이것,9
243,화,9
244,대선,9
245,화성,9
246,무공,9
247,의도,9
248,외국인,9
249,자랑,9
250,애초,9
251,얼마,9
252,우리나라,9
253,지식,9
254,지랄,9
255,마지막,9
256,매력,9
257,양립,9
258,이탈리아,9
259,포,9
260,요약,9
261,보조,9
262,분산,9
263,입,9
264,근본,9
265,전날,9
266,예,9
267,메달,9
268,여개,9
269,눈물,9
270,전분,9
271,메뉴,9
272,적,9
273,영양,9
274,논리,9
275,조금,9
276,전투,9
277,컨,9
278,폐지,9
279,냉장고,9
280,시각,9
281,단어,9
282,구매자,9
283,택시,9
284,부합,9
285,장소,9
286,공조,9
287,인형,9
288,대상자,9
289,세균,9
290,휴먼,9
291,그때,9
292,조선업,9
293,일대,9
294,공항,9
295,강,9
296,신형,9
297,선생,9
298,탑승,9
299,국산화,9
300,메르세데스,9
301,실시간,9
302,재개,9
303,구석구석,9
304,수정,9
305,만평,9
306,대외,9
307,재편,9
308,과거,9
309,휘발성,9
310,추정,9
311,고유,9
312,폴리에스터,9
313,원칙,9
314,부두,9
315,모범,9
316,창조,9
317,전담,9
318,닷,9
319,로고,9
320,잔여,9
321,선급,9
322,화물,9
323,수요자,9
324,부과,9
325,답변,9
326,오른쪽,9
327,축구장,9
328,금개구리,9
329,맹꽁이,9
330,이주,9
331,베이,9
332,버전,9
333,클래스,9
334,영화관,9
335,방문객,9
336,단일,9
337,퍼스트,9
338,부문장,9
339,학습,9
340,신속,9
341,마감,9
342,휴,9
343,중점,9
344,품목,9
345,화두,9
346,동반,9
347,자리매김,9
348,해군,9
349,공인,9
350,질서,9
351,유니콘,9
352,대전환,9
353,의존도,9
354,공고,9
355,수송,9
356,네트워크,9
357,세부,9
358,체육,9
359,터,9
360,독려,9
361,색,9
362,강연,9
363,고로,9
364,심의,9
365,상금,9
366,융합,9
367,미션,9
368,배지,9
369,축적,9
370,아라미드,9
371,순차,9
372,소각로,9
373,고용부,9
374,용도,9
375,재활용품,9
376,증진,9
377,용수,9
378,작용,9
379,노스페이스,9
380,미트,9
381,고압,9
382,기블리,9
383,티스,9
384,시속,9
385,분량,9
386,공기업,9
387,약식,9
388,공감,9
389,대의,9
390,당진,9
391,특산물,9
392,엑스포,9
393,식음료,9
394,학원,9
395,봉수,9
396,로프웨이,9
397,스테이,9
398,귀뚜라미,9
399,법정,9
400,유원지,9
401,콜롬비아,9
402,내수면,9
403,아산시,9
404,취재,9
405,소금,9
406,세븐일레븐,9
407,돌문,9
408,천억,9
409,재난,8
410,트럼프,8
411,무료,8
412,부탁,8
413,스티커,8
414,팔,8
415,댓글,8
416,정리,8
417,상상,8
418,지원금,8
419,감당,8
420,공모전,8
421,지난주,8
422,설거지,8
423,수리,8
424,발전량,8
425,연기,8
426,인하,8
427,건지,8
428,폐쇄,8
429,붐,8
430,둘,8
431,냉매,8
432,연말,8
433,밤,8
434,하락,8
435,강아지,8
436,추석,8
437,방,8
438,그게,8
439,드라이브,8
440,스카이,8
441,원장,8
442,위촉,8
443,발견,8
444,정,8
445,배당,8
446,프라이빗,8
447,이치,8
448,놈,8
449,봄,8
450,충,8
451,금호,8
452,떡,8
453,합의,8
454,공부,8
455,돌입,8
456,한도,8
457,새똥,8
458,국영,8
459,자국,8
460,마스터,8
461,시절,8
462,식량,8
463,밸,8
464,선수,8
465,신경,8
466,둘째,8
467,단순,8
468,왕,8
469,레이저,8
470,로딩,8
471,오뚜기,8
472,자투리,8
473,황,8
474,아쿠아,8
475,샐러드,8
476,캐릭터,8
477,티비,8
478,키즈,8
479,에너지원,8
480,딸,8
481,민원,8
482,발주,8
483,플랜,8
484,뉴욕,8
485,완화,8
486,수력,8
487,핵융합,8
488,레딧,8
489,통일,8
490,완벽,8
491,산대,8
492,인도,8
493,안전밸브,8
494,디,8
495,실패,8
496,경제자유구역,8
497,퇴출,8
498,연관,8
499,월드,8
500,벽,8
501,분단,8
502,쇼핑몰,8
503,동향,8
504,특집,8
505,레이트,8
506,통운,8
507,감독,8
508,무상,8
509,페놀,8
510,메,8
511,유공자,8
512,무공해차,8
513,패러다임,8
514,팬데,8
515,풀이,8
516,파이낸셜,8
517,임대,8
518,해석,8
519,시너지,8
520,오피스,8
521,론,8
522,리아,8
523,최대한,8
524,온실,8
525,높이,8
526,공연,8
527,창의,8
528,파이프,8
529,마감재,8
530,티셔츠,8
531,점포,8
532,겨냥,8
533,이륜차,8
534,개사,8
535,플레이스,8
536,튜브,8
537,커뮤니케이션,8
538,수종,8
539,개조,8
540,의결,8
541,최저,8
542,권고,8
543,용역,8
544,오렌지,8
545,표준,8
546,채택,8
547,포부,8
548,김포,8
