,명사,횟수
0,친환경,3156
1,등,1574
2,년,1273
3,것,1115
4,수,1023
5,일,939
6,사업,843
7,차,824
8,환경,762
9,탄소,724
10,활용,704
11,기업,700
12,사용,666
13,에너지,648
14,생산,634
15,제품,596
16,개발,594
17,월,548
18,원,539
19,중,527
20,플라스틱,521
21,이,518
22,가능,514
23,전기,504
24,수소,498
25,소재,498
26,말,497
27,계획,472
28,기술,466
29,배출,456
30,투자,424
31,경영,392
32,사회,383
33,시장,379
34,공장,379
35,개,374
36,화학,373
37,산업,366
38,억,363
39,발전,340
40,만,338
41,국내,338
42,자동차,336
43,추진,332
44,지속,324
45,세계,315
46,이번,311
47,기자,309
48,예정,309
49,확대,307
50,규모,304
51,현대,288
52,지원,283
53,이상,274
54,제공,274
55,올해,268
56,미국,261
57,한국,261
58,판매,259
59,지역,258
60,대표,258
61,내,256
62,배터리,256
63,진행,256
64,지난해,256
65,협약,253
66,성장,251
67,전기차,249
68,미래,248
69,거,246
70,우리,240
71,중립,240
72,약,238
73,그룹,237
74,브랜드,229
75,목표,223
76,경제,219
77,협력,217
78,전환,215
79,서울,214
80,시,213
81,분야,213
82,관련,210
83,최근,210
84,재생,210
85,공급,207
86,전,206
87,적용,205
88,정부,204
89,운영,199
90,자원,198
91,글로벌,196
92,구축,193
93,태양광,191
94,회사,189
95,차량,186
96,기존,183
97,데,180
98,인증,180
99,문제,178
100,활동,178
101,시설,177
102,증가,176
103,출시,176
104,조성,176
105,업계,175
106,업무,174
107,구조,174
108,온실가스,174
109,기후,173
110,연구,173
111,안전,172
112,도시,172
113,과정,172
114,설치,171
115,지구,170
116,센터,170
117,강화,169
118,시작,168
119,건설,168
120,코로나,168
121,체결,168
122,때,167
123,하이브리드,167
124,업체,166
125,량,165
126,가치,161
127,필요,160
128,기사,160
129,기준,159
130,평가,159
131,도입,158
132,모델,158
133,노력,158
134,정책,157
135,실천,157
136,명,156
137,관계자,154
138,녹색,154
139,게,152
140,적극,152
141,원료,152
142,효과,151
143,에코,151
144,선박,151
145,시스템,150
146,하나,150
147,감축,150
148,용기,149
149,혁신,148
150,구매,148
151,기대,147
152,생각,146
153,최대,146
154,페트병,144
155,기관,143
156,금융,143
157,연료,143
158,앞,142
159,간,142
160,대상,142
161,톤,142
162,전력,141
163,중국,139
164,연간,139
165,폐기물,138
166,보호,137
167,이용,136
168,현대차,136
169,캠페인,136
170,저장,136
171,오,135
172,최초,135
173,국가,135
174,전략,134
175,참여,132
176,바이오,132
177,공동,131
178,자연,130
179,때문,130
180,효율,129
181,수출,129
182,변화,128
183,문화,128
184,기반,128
185,대비,128
186,씨,126
187,포장재,126
188,라벨,125
189,위원회,125
190,설비,124
191,제작,124
192,확보,124
193,위,123
194,점,123
195,순환,122
196,발생,121
197,교육,121
198,개선,121
199,포함,120
200,물,119
201,충전,119
202,생태,119
203,포스코,118
204,번,117
205,후,117
206,개월,116
207,핵심,115
208,대응,115
209,열,114
210,저감,114
211,곳,113
212,사,113
213,금지,113
214,공간,112
215,배,111
216,대,111
217,경우,111
218,단계,111
219,소비자,109
220,고객,109
221,국민,108
222,발표,108
223,프로젝트,108
224,설계,107
225,본격,106
226,관리,106
227,건물,106
228,식품,106
229,시대,105
230,쓰레기,105
231,이산화,105
232,국제,105
233,생활,105
234,정도,103
235,전망,103
236,앤,103
237,공정,103
238,사람,102
239,이후,102
240,방식,102
241,위기,102
242,스타트업,102
243,식,101
244,수요,101
245,지배,101
246,보급,101
247,유럽,100
248,전국,98
249,중심,98
250,삼성전자,98
251,건축,98
252,바,97
253,내용,97
254,주요,97
255,제조,97
256,제,96
257,부문,96
258,공사,96
259,수준,95
260,전문,95
261,일반,95
262,전체,95
263,달성,94
264,건,94
265,선도,93
266,추가,93
267,물질,92
268,시간,92
269,업,92
270,선정,92
271,나라,91
272,인프라,91
273,종이,90
274,기아,90
275,서비스,90
276,창출,90
277,설명,89
278,수거,89
279,가운데,89
280,사장,89
281,절감,89
282,농업,89
283,뱅크,89
284,결과,88
285,구성,88
286,실현,88
287,공개,88
288,소비,87
289,솔루션,87
290,리,87
291,처리,87
292,프로그램,87
293,배포,87
294,교체,86
295,석유,86
296,풍력,86
297,환경부,86
298,충남,85
299,패션,84
300,한편,84
301,가격,83
302,뒤,83
303,시민,83
304,최고,83
305,원전,82
306,가스,82
307,일본,82
308,컵,82
309,포장,82
310,속,82
311,향후,82
312,부산,82
313,디자인,81
314,분해,81
315,다양,81
316,비중,81
317,섬유,81
