,명사,횟수
0,화훼,2
1,베이스,2
2,원물,2
3,토너,2
4,카네이션,2
5,로즈,2
6,솔트,2
7,자극,2
8,가미,2
9,숙박,2
10,공유지,2
11,임대료,2
12,개발제한구역,2
13,순증가,2
14,포도당,2
15,글리세롤,2
16,전장,2
17,크루즈,2
18,엔지니어,2
19,만나,2
20,플립,2
21,스마일,2
22,다이오드,2
23,시인,2
24,이완재,2
25,황종현,2
26,병영,2
27,조달청,2
28,학급,2
29,코아,2
30,명지,2
31,희소,2
32,부동,2
33,신화,2
34,용현,2
35,학익동,2
36,분당선,2
37,권,2
38,메디컬,2
39,윤성태,2
40,박효순,2
41,수정구,2
42,네이처,2
43,빗,2
44,내외,2
45,유기성,2
46,스푸트니크,2
47,오송,2
48,바이알,2
49,루비,2
50,노락,2
51,사군자,2
52,분말,2
53,일례,2
54,심부전,2
55,약물,2
56,도출,2
57,약서,2
58,유골,2
59,목장,2
60,캐리,2
61,어운,2
62,송체,2
63,기화,2
64,연소기,2
65,역서,2
66,봉오동,2
67,청산리,2
68,사령관,2
69,뒷날,2
70,봉환,2
71,물심,2
72,양면,2
73,토카,2
74,예프,2
75,윤봉길,2
76,이봉창,2
77,애국지사,2
78,마흔,2
79,산천,2
80,국난,2
81,강점기,2
82,고난,2
83,독립지사,2
84,이별,2
85,젊음,2
86,전쟁터,2
87,학도병,2
88,광장,2
89,연해주,2
90,향민,2
91,감격,2
92,자식,2
93,교육열,2
94,무교육,2
95,육군,2
96,광복군,2
97,전차,2
98,자주포,2
99,장갑차,2
100,강군,2
101,경비정,2
102,전함,2
103,창설,2
104,이지스,2
105,구축함,2
106,잠수함,2
107,함정,2
108,대양,2
109,경비행기,2
110,여덟,2
111,초음속,2
112,전투기,2
113,방위력,2
114,백범,2
115,김구,2
116,신곡,2
117,빌보드,2
118,기생충,2
119,영화제,2
120,석권,2
121,윤여정,2
122,여우,2
123,드라마,2
124,애니메이션,2
125,발레,2
126,저력,2
127,만장일치,2
128,식민,2
129,굴욕,2
130,폭력,2
131,일본인,2
132,복수,2
133,촛불,2
134,비준,2
135,분기점,2
136,계급,2
137,부양,2
138,무자,2
139,온기,2
140,캄보디아,2
141,타결,2
142,감염병,2
143,원부,2
144,유례,2
145,지도자,2
146,안재홍,2
147,패전,2
148,호혜,2
149,담대,2
150,적대,2
151,민족주의,2
152,국교,2
153,분업,2
154,선의,2
155,보편주의,2
156,다원주의,2
157,공존공영,2
158,변국,2
159,지라도,2
160,디스카운트,2
161,유라시아,2
162,듯이,2
163,모회사,2
164,시비,2
165,정창교,2
166,수입국,2
167,팔걸이,2
168,도어,2
169,내마모성,2
170,사계절,2
171,조원태,2
172,본질,2
173,오염도,2
174,소유자,2
175,임차인,2
176,조광,2
177,지붕재,2
