,명사,횟수
0,폐가스,4
1,폴드,4
2,생물,4
3,삼성물산,4
4,드림,4
5,밸리,4
6,심혈,4
7,스크린,4
8,최상,4
9,파티,4
10,패밀리,4
11,환승,4
12,월마트,4
13,탄력,4
14,학익,4
15,지하철,4
16,문의,4
17,딕스,4
18,남미,4
19,금년,4
20,메이커,4
21,파이프라인,4
22,파트너십,4
23,배양기,4
24,입국,4
25,천연물,4
26,심장,4
27,질병,4
28,부피,4
29,이점,4
30,발열량,4
31,독립군,4
32,카자흐스탄,4
33,고려인,4
34,일제,4
35,수탈,4
36,기차,4
37,대국,4
38,아홉,4
39,공군,4
40,예술인,4
41,성취,4
42,선조,4
43,서로,4
44,반전,4
45,메모리,4
46,안전망,4
47,배제,4
48,전진,4
49,첫째,4
50,셋째,4
51,건국,4
52,오랫동안,4
53,동독,4
54,서독,4
55,비핵화,4
56,동북아시아,4
57,협력체,4
58,산업체,4
59,침체,4
60,수전,4
61,내열,4
62,무리,4
63,양시,4
64,남양주,4
65,페트로,4
66,제조업체인,4
67,로더,4
68,사인,4
69,수천,4
70,게재,4
71,김종식,4
72,목포시장,4
73,국회의원,4
74,김영균,4
75,시책,4
76,테이크아웃,4
77,뉴스센터,4
78,청정기,4
79,기용,4
80,메시징,4
81,병해충,4
82,의뢰,4
83,방수,4
84,손상,4
85,오이스터,4
86,에이블,4
87,행,4
88,생산액,4
89,도내,4
90,뮤지컬,4
91,기조연설,4
92,관객,4
93,경품,4
94,덕양구,4
95,주교,4
96,공사비,4
97,보상금,4
98,차등,4
99,설계안,4
100,다각,4
101,서남,4
102,암,4
103,반발,4
104,송영길,4
105,조희연,4
106,한정애,4
107,운동장,4
108,교구,4
109,자치구,4
110,플라자,4
111,습지,4
112,커머스,4
113,아쉬움,4
114,파생,4
115,최우수,4
116,신용,4
117,감귤,4
118,중신,4
119,상회,4
120,보통주,4
121,액티브,4
122,자산운용,4
123,예산군,4
124,전철,4
125,개통,4
126,와인,4
127,한데,4
128,대금,4
129,연천,4
130,카본,4
131,제지,4
132,인센티브,4
133,여도,4
134,대치동,4
135,만족도,4
