,명사,횟수,
336,단일,9,1
337,퍼스트,9,1
338,부문장,9,1
339,학습,9,1
340,신속,9,1
341,마감,9,1
342,휴,9,0
343,중점,9,1
344,품목,9,1
345,화두,9,1
346,동반,9,1
347,자리매김,9,1
348,해군,9,1
349,공인,9,1
350,질서,9,1
351,유니콘,9,1
352,대전환,9,1
353,의존도,9,1
354,공고,9,1
355,수송,9,1
356,네트워크,9,1
357,세부,9,1
358,체육,9,1
359,터,9,0
360,독려,9,1
361,색,9,0
362,강연,9,1
363,고로,9,1
364,심의,9,1
365,상금,9,1
366,융합,9,1
367,미션,9,1
368,배지,9,1
369,축적,9,1
370,아라미드,9,0
371,순차,9,1
372,소각로,9,1
373,고용부,9,1
374,용도,9,1
375,재활용품,9,1
376,증진,9,1
377,용수,9,1
378,작용,9,1
379,노스페이스,9,1
380,미트,9,1
381,고압,9,1
382,기블리,9,0
383,티스,9,0
384,시속,9,1
385,분량,9,1
386,공기업,9,1
387,약식,9,1
388,공감,9,1
389,대의,9,1
390,당진,9,1
391,특산물,9,1
392,엑스포,9,1
393,식음료,9,1
394,학원,9,1
395,봉수,9,1
396,로프웨이,9,0
397,스테이,9,1
398,귀뚜라미,9,1
399,법정,9,1
400,유원지,9,1
401,콜롬비아,9,1
402,내수면,9,1
403,아산시,9,1
404,취재,9,1
405,소금,9,1
406,세븐일레븐,9,1
407,돌문,9,1
408,천억,9,1
409,재난,8,1
410,트럼프,8,1
411,무료,8,1
412,부탁,8,1
413,스티커,8,1
414,팔,8,1
415,댓글,8,1
416,정리,8,1
417,상상,8,1
418,지원금,8,1
419,감당,8,1
420,공모전,8,1
421,지난주,8,1
422,설거지,8,1
423,수리,8,1
424,발전량,8,1
425,연기,8,1
426,인하,8,1
427,건지,8,1
428,폐쇄,8,1
429,붐,8,1
430,둘,8,0
431,냉매,8,1
432,연말,8,1
433,밤,8,1
434,하락,8,1
435,강아지,8,1
436,추석,8,1
437,방,8,0
438,그게,8,0
439,드라이브,8,1
440,스카이,8,1
441,원장,8,1
442,위촉,8,1
443,발견,8,1
444,정,8,0
445,배당,8,1
446,프라이빗,8,1
447,이치,8,1
448,놈,8,0
449,봄,8,1
450,충,8,0
451,금호,8,1
452,떡,8,0
453,합의,8,1
454,공부,8,1
455,돌입,8,1
456,한도,8,1
457,새똥,8,1
458,국영,8,1
459,자국,8,1
460,마스터,8,1
461,시절,8,1
462,식량,8,1
463,밸,8,0
464,선수,8,1
465,신경,8,1
466,둘째,8,1
467,단순,8,1
468,왕,8,1
469,레이저,8,1
470,로딩,8,1
471,오뚜기,8,1
472,자투리,8,1
473,황,8,0
474,아쿠아,8,1
475,샐러드,8,1
476,캐릭터,8,1
477,티비,8,1
478,키즈,8,1
479,에너지원,8,1
480,딸,8,1
481,민원,8,1
482,발주,8,1
483,플랜,8,1
484,뉴욕,8,1
485,완화,8,1
486,수력,8,1
487,핵융합,8,1
488,레딧,8,1
489,통일,8,1
490,완벽,8,1
491,산대,8,1
492,인도,8,1
493,안전밸브,8,1
494,디,8,0
495,실패,8,1
496,경제자유구역,8,1
497,퇴출,8,1
498,연관,8,1
499,월드,8,1
500,벽,8,1
501,분단,8,1
502,쇼핑몰,8,1
503,동향,8,1
504,특집,8,1
505,레이트,8,1
506,통운,8,1
507,감독,8,1
508,무상,8,1
509,페놀,8,1
510,메,8,0
511,유공자,8,1
512,무공해차,8,1
513,패러다임,8,1
514,팬데,8,1
515,풀이,8,1
516,파이낸셜,8,1
517,임대,8,1
518,해석,8,1
519,시너지,8,1
520,오피스,8,1
521,론,8,1
522,리아,8,1
523,최대한,8,1
524,온실,8,1
525,높이,8,1
526,공연,8,1
527,창의,8,1
528,파이프,8,1
529,마감재,8,1
530,티셔츠,8,1
531,점포,8,1
532,겨냥,8,1
533,이륜차,8,1
534,개사,8,1
535,플레이스,8,1
536,튜브,8,1
537,커뮤니케이션,8,1
538,수종,8,1
539,개조,8,1
540,의결,8,1
541,최저,8,1
542,권고,8,1
543,용역,8,1
544,오렌지,8,1
545,표준,8,1
546,채택,8,1
547,포부,8,1
548,김포,8,1
549,팽나무,8,1
550,시즌,8,1
551,강동구,8,1
552,공청회,8,1
553,산학,8,1
554,마곡,8,1
555,미추홀,8,1
556,주체,8,1
557,세포,8,1
558,포식,8,1
559,장지,8,1
560,품격,8,1
561,광복,8,1
562,인사,8,1
563,유행,8,1
564,양질,8,1
565,저소득층,8,1
566,선전,8,1
567,임시,8,1
568,현안,8,1
569,제조업,8,1
570,성장세,8,1
571,단축,8,1
572,관내,8,1
573,대당,8,1
574,추출물,8,1
575,마창민,8,0
576,김지애,8,1
577,축사,8,1
578,혼합,8,1
579,전주,8,1
580,항균,8,1
581,외벽,8,1
582,리사이클링,8,1
583,인증서,8,1
584,주최,8,1
585,마을,8,1
586,세종,8,1
587,응모,8,1
588,당선작,8,1
589,뉴시스,8,1
590,종로구,8,1
591,자립,8,1
592,토론회,8,1
593,벨트,8,1
594,비거니즘,8,1
595,실리카,8,1
596,복원,8,1
597,확립,8,1
598,결의,8,1
599,식사,8,1
600,액체,8,1
601,사이언,8,1
602,서면,8,1
603,연합회,8,1
604,스텔란,8,1
605,동해,8,1
606,가전제품,8,1
607,브레이크,8,1
608,협동조합,8,1
609,포괄,8,1
610,한국가스공사,8,1
611,엘엔지,8,1
612,나일론,8,1
613,메탄올,8,1
614,연출,8,1
615,에프,8,1
616,접목,8,1
617,미스트,8,1
618,타임,8,1
619,영향력,8,1
620,종료,8,1
621,남산,8,1
622,랜드마크,8,1
623,직장,8,1
624,냉난방,8,1
625,데모,8,1
626,출자,8,1
627,가게,8,1
628,휴식,8,1
629,본점,8,1
630,순도,8,1
631,지에스,8,1
632,이용자,8,1
633,린,8,0
634,브로드밴드,8,1
635,한국전력,8,1
636,퍼플,8,1
637,롯데월드,8,1
638,양조장,8,1
639,상상마당,8,1
640,도매,8,1
641,강레오,8,0
642,멜론,8,1
643,메탄,8,1
644,블레이드,8,1
645,멕스,8,1
646,웰러,8,1
647,가석방,8,1
648,완,8,1
649,디시안,8,1
650,롯데호텔,8,1
651,날씨,7,1
652,추모,7,1
653,중고,7,1
654,언제,7,1
655,화폐,7,1
656,리플,7,1
657,건가요,7,1
658,전무,7,1
659,솔,7,0
660,취향,7,1
661,소비량,7,1
662,후쿠시마,7,1
663,평소,7,1
664,매트,7,1
665,짓,7,0
666,더블,7,1
667,옵션,7,1
668,소음,7,1
669,이틀,7,1
670,저희,7,0
671,칭찬,7,1
672,캠,7,1
673,스포티지,7,1
674,세금,7,1
675,사건,7,1
676,쓸모,7,1
677,감성,7,1
678,빗물,7,1
679,우드,7,1
680,특가,7,1
681,만점,7,1
682,점수,7,1
683,경주,7,1
684,후속,7,1
685,컴퓨터,7,1
686,당일,7,1
687,공시,7,1
688,세,7,0
689,캔,7,1
690,여자,7,1
691,미장,7,1
692,선두,7,1
693,델타,7,1
694,뭘,7,0
695,독점,7,1
696,파이,7,1
697,종자,7,1
698,구글,7,1
699,칭,7,0
700,상향,7,1
701,프린팅,7,1
702,유사,7,1
703,광,7,1
704,종시,7,1
705,시나리오,7,1
706,러시아,7,1
707,컴퍼니,7,1
708,카셰어링,7,1
709,훼손,7,1
710,오토,7,1
711,런,7,0
712,갈등,7,1
713,성,7,1
714,수여,7,1
715,외교,7,1
716,리포트,7,1
717,윤,7,0
718,그날,7,0
719,아카데미,7,1
720,조국,7,1
721,덕,7,0
722,택,7,0
723,원가,7,1
724,구독,7,1
725,재건축,7,1
726,충성,7,1
727,바퀴,7,1
728,광물,7,1
729,물고기,7,1
730,교육부,7,1
731,일시,7,1
732,진흥,7,1
733,채취,7,1
734,땐,7,0
735,재원,7,1
736,창립,7,1
737,롯데칠성음료,7,1
738,추후,7,0
739,무기,7,1
740,이낙연,7,1
741,원격,7,1
742,함량,7,1
743,기저귀,7,1
744,하늘,7,1
745,입증,7,1
746,이재명,7,1
747,영화,7,1
748,라면,7,1
749,엔,7,0
750,롯데제과,7,1
751,도요타,7,1
752,점착제,7,1
753,지오,7,0
754,여명,7,1
755,직접,7,0
756,골자,7,1
757,패권,7,1
758,특구,7,1
759,체질,7,1
760,유해성,7,1
761,환자,7,1
762,이내,7,1
763,미포,7,1
764,원천,7,1
765,발송,7,1
766,캡,7,0
767,이색,7,1
768,아티스트,7,1
769,라이브,7,1
770,전라남도,7,1
771,급속,7,1
772,치약,7,1
773,조깅,7,1
774,도청,7,1
775,축소,7,1
776,총회,7,1
777,노르웨이,7,1
778,레디,7,1
779,운반선,7,1
780,녹,7,1
781,정의,7,1
782,계절,7,1
783,부착,7,1
784,훈련,7,1
785,이정표,7,1
786,공생,7,1
787,식재,7,1
788,니스,7,1
789,골프,7,1
790,축제,7,1
791,창고,7,1
792,유창,7,1
793,교실,7,1
794,초등,7,1
795,지상,7,1
796,걸음,7,1
797,항원,7,1
798,니즈,7,1
799,남성,7,1
800,치료,7,1
801,엔지니어링,7,1
802,주간,7,1
803,분해기,7,1
804,홍범,7,0
805,농민,7,1
806,안보,7,1
807,상국,7,1
808,존중,7,1
809,약자,7,1
810,연대,7,1
