언론사,제목,내용
동아일보,풀무원 ‘식중독 케이크’ 논란에 여론 격앙…“친환경·바른먹거리 라며?”,사진식품의약품안전처집단 식중독 증세를 일으킨 원인으로 의심받고 있는 케이크 ‘우리밀 초코블라썸케익’은 바른 먹거리를 내세우는 풀무원 계열 식자재 납품업체 푸드머스가 유통한 제품이다 이 제품은 식품제조업체인 더블유원에프엔비가 만들었지만 푸드머스 ‘바른선’ 를 달고 출시됐다 이에 친환경을 강조하는 풀무원 제품을 ‘골라서’ 사먹었다는 소비자들은 배신감을 느꼈다는 반응이다식품의약품안전처·교육부·질병관리본부 등 관계부처에 따르면 경기 고양시에 소재한 더블유원에프엔비가 만든 ‘우리밀 초코블라썸케익’을 먹은 학생들이 집단 식중독 증세를 보이고 있다 식중독이란 인체에 유해한 식품의 미생물·유독 물질에 의해 발생하는 감염성·독소형 질환이다문제가 된 제품은 지난달부터 이달 5일까지 6211박스총 5589 생산돼 전량 풀무원 계열 식자재 납품업체인 푸드머스로 공급됐고 부산·대구·경기·전북·경북·경남 등 28개 학교 총 152개 급식소에 납품됐다 이 제품을 먹고 식중독 의심 증세를 보인 학생수는 6일 기준 1592명 124965211 1 1 15952770652440 15952770652440 돈을 조금 더 지불하더라도 바른 먹거리를 내세우는 풀무원 제품을 일부러 구매해왔다는 소비자들은 실망을 넘어 분노하는 분위기다 풀무원이 자체 생산한 제품이 아니라고 해도 풀무원 계열인 ‘푸드머스’를 통해 공급됐기에 철저한 관리를 해야 했다는 지적 주요기사 “尹캠프 합류 압박” “당행사 불참 종용”… 野 파열음 커져신혼여행지 하와이도 파리도 아니다‘빈민촌’으로 떠난 부부 아이디 는 식중독 케이크 기사에 “풀무원 너무 실망스럽네요 아이들을 앞세워 누구보다 깨끗한 먹거리 만드는 기업으로 이미지 마케팅을 하더니ㅠㅠ 진짜 너무 실망스럽습니다 풀무원 제품을 골라서 애들에게 먹인 게 후회됩니다”라고 적었다 이 외에도 누리꾼들은 ““다른 제품보다 풀무원 제품 믿고 구입했는데 실망스럽다” “나 풀무원만 먹었는데 진심으로 실망이다” “초등생 둘 있다 풀무원 제품 믿고 먹는 브랜드 중간유통에서 문제가 있었나 좀 더 유통에 신경 쓰시면 될 것 같은데” 등의 댓글을 남기며 실망스럽다는 반응을 보였다정봉오 동아닷컴 기자 087창닫기기사를 추천 하셨습니다풀무원 ‘식중독 케이크’ 논란에 여론 격앙…“친환경·바른먹거리 라며”베스트 추천 뉴스“저 집 며느리로 못 가겠다” 반응에…崔가족이 공개한 사진“노조는 좋은 거다 이익만 탐내는 귀족노조 빼고”단독윤석열 “특검때 박근혜 불구속 계획”… 당내 “친박 지지 겨냥”‘정의연 후원금 유용 혐의’ 윤미향 기소 11개월 만에 재판 나온다신혼여행지 하와이도 파리도 아니다…‘빈민촌’으로 떠난 부부홍준표 尹측 돌고래 멸치 비유에 “실언 연발…자중하라” 300
동아일보,"[CSV 포터 상]풀무원, CSV는 아이 올바른 먹거리 챙기기부터!",‘바른먹거리 캠페인’ 교육을 받고 있는 초등학생들 풀무원 제공현재 풀무원의 대표적인 공유가치창출 활동은 ‘바른먹거리 캠페인’ 교육이다 어린아이들의 바른 식생활 습관 정착을 위해 풀무원이 2010년부터 추진해 온 무료 교육 프로그램으로 작년까지 무려 2만여 명의 초등학생과 미취학 아동이 교육을 받았다 풀무원으로부터 교육을 위탁받은 사회적기업인 푸드포체인지의 전문 식생활 교육 강사들이 초등학교와 유치원 어리이집 등을 방문해 아이들의 올바른 식습관 형성을 위한 교육을 진행하는 식이다 작년까지는 1회 방문 교육으로 진행했지만 올해부터는 2회 시리즈 교육으로 변경했다 교육 프로그램 내용도 아이들 수준에 맞춰 세분화하고 깊이를 더했다 우선 5 6세 미취학 아이들에겐 △제철 식재료를 활용해 직접 요리하고 맛보는 실습 교육을 통해 자연의 맛을 알아갈 수 있도록 도와주는 ‘미각 교육’과 △6대 영양소의 종류와 기능을 확인해 어려서부터 균형 잡힌 식습관을 가질 수 있도록 도와주는 ‘영양균형 교육’에 중점을 두고 있다 기존엔 90분 강의로 진행했지만 장시간 집중할 수 없는 아이들의 특성을 감안해 60분씩 2회총 120분 교육으로 바꿨다 특히 아이들이 바른먹거리 교육에 흥미를 가질 수 있도록 각종 게임과 팝업 동화를 적극 도입해 진행하고 있다 초등학교 3 4학년 학생들에겐 ‘미각 교육’과 ‘영양균형 교육’에 더해 ‘식품표시 교육’을 추가해 진행하고 있다 어린이들 스스로 바른 먹거리를 선택할 수 있도록 제품 포장지에 적혀 있는 유통기한과 제조일자 원재료명과 함량 영양성분을 꼼꼼히 따져보고 익히는 프로그램이다 유치원생들에 비해 지적 수준이나 이해도가 훨씬 성숙해 있는 만큼 교육 시간은 종전90분 1회보다 2배90분씩 총 2회로 늘렸다 풀무원 관계자는 “올 한 해에만 1만여 명의 아이들이 바른 먹거리 교육을 받았다”며 “2020년까지 10만 명의 아이들에게 바른 먹거리 교육을 전파한다는 목표”라고 말했다 이어 “학부모와 아이들이 함께하는 바른 먹거리 교육도 더욱 확대해 나갈 계획”이라고 덧붙였다 124965211 1 1 15952770652440 15952770652440 한편 풀무원은 인류와 지구 환경의 건강 및 지속 가능성을 추구하는 ‘로하스’의 가치를 실천하기 위해 건강한 먹거리를 개발하는 데 지속적인 노력을 기울이고 있다 ‘꽃게짬뽕’ ‘파송송사골’ ‘백합조개탕면’ 등 기름에 튀기지 않은 면으로 건강까지 생각하는 생라면 브랜드 ‘자연은 맛있다’ 시리즈와 100 천연 생과일 주스 ‘아임 리얼’ 등이 대표적 예다 특히 아임리얼은 친환경 인증을 받은 국산 과일만을 사용해 가열과 농축 과정 없이 원료의 영양만을 최대한 살린 신선식품의 새로운 트렌드를 제시한 제품으로 평가받고 있다 주요기사 “尹캠프 합류 압박” “당행사 불참 종용”… 野 파열음 커져신혼여행지 하와이도 파리도 아니다‘빈민촌’으로 떠난 부부 풀무원의 활동은 최고경영진이 적극 지지하는 것으로도 유명하다 남승우 풀무원 총괄사장은 전사 조직원들을 대상으로 올 한 해에만 ‘기업의 사회적 책임과 공유가치창출’이라는 주제의 강연을 9차례나 진행했다 ‘풀무원에서 생산하는 제품이 더 많은 사회적 가치를 창출하도록 설계돼 있는가’ ‘회사의 업무 프로세스나 물류 체계가 에너지 및 수자원의 효율성을 극대화하는 방향으로 이루어지고 있는가’처럼 세부 주제도 매우 구체적이다 풀무원 관계자는 “최고경영자가 앞장서서 풀무원 내부의 모든 기업 전략에 개념을 어떻게 적용할 것인지에 대해 고민하는 모습을 보임으로써 전사적으로 실천 의지를 불어넣고 있다”고 말했다 이방실 기자 창닫기기사를 추천 하셨습니다 포터 상풀무원 는 아이 올바른 먹거리 챙기기부터베스트 추천 뉴스“저 집 며느리로 못 가겠다” 반응에…崔가족이 공개한 사진“노조는 좋은 거다 이익만 탐내는 귀족노조 빼고”단독윤석열 “특검때 박근혜 불구속 계획”… 당내 “친박 지지 겨냥”‘정의연 후원금 유용 혐의’ 윤미향 기소 11개월 만에 재판 나온다신혼여행지 하와이도 파리도 아니다…‘빈민촌’으로 떠난 부부홍준표 尹측 돌고래 멸치 비유에 “실언 연발…자중하라” 300
동아일보,[Food&Dining3.0]‘바른먹거리 캠페인’ 교육 1만 명 실시,풀무원 풀무원이 대표적인 공유가치창출 활동인 ‘바른먹거리 캠페인’ 교육을 확대 실시한다 풀무원은 어린이들의 바른식생활을 위해 2010년부터 실시하고 있는 바른먹거리 캠페인 교육을 대폭 확대해 올해 500회에 걸쳐 1만 명을 교육할 계획이라고 밝혔다 풀무원은 장기적으로는 매년 1만 명 이상을 교육해 2020년까지는 바른먹거리 교육을 받은 일명 ‘바른먹거리 지킴이’를 10만 명까지 확대하겠다는 계획이다 풀무원은 첫 캠페인을 시작한 2010년부터 지난해까지 4년간 2만여 명을 대상으로 바른먹거리 교육을 하는 성과를 거두었다 바른먹거리 캠페인 교육은 무료교육으로 교육을 위탁받은 사회적 기업인 ‘푸드포체인지’의 전문 식생활 교육 강사들이 교육장소를 찾아가 교육을 실시한다 올해 교육은 3월부터 시작되며 교육 신청은 비영리사단법인인 푸드포체인지 홈페이지에서 매달 접수하고 있다 올 상반기에는 유치부6∼7세와 초등학생3∼4학년 대상 교육을 실시하며 신청자격은 교육인원이 최소 15명 이상으로 교육장소를 제공할 수 있는 교육기관 단체어린이집 유치원 초등학교 지역아동센터 등와 개인이다 교육 신청지역은 서울 경기 인천지역이며 기타 지역은 별도 문의하면 된다 124965211 1 1 15952770652440 15952770652440 풀무원은 올해 교육대상 확대와 함께 바른먹거리 교육 프로그램을 식품표시교육과 미각교육 영양균형교육 등 3가지로 심화 확대 개편하기로 했다 주요기사 “尹캠프 합류 압박” “당행사 불참 종용”… 野 파열음 커져신혼여행지 하와이도 파리도 아니다‘빈민촌’으로 떠난 부부 교육방식도 기존의 1회90분 교육에서 2회120분 180분 시리즈 교육으로 변경하였다 ‘바른먹거리 영양균형 및 미각교육’은 6∼7세 유치부 어린이를 대상으로 진행된다 기존 90분 1회 교육에서 60분씩 2회로 확대했다 풀무원은 바른먹거리 캠페인 교육을 바른 식생활 교육 사업 단체인 푸드포체인지대표 노민영와 함께 전개하고 있다 푸드포체인지는 2012년 7월 공식출범한 사회적 기업 형태의 비영리사단법인으로 식생활 교육 전문강사인 ‘푸듀케이터’를 양성해 어린이들에게 바른먹거리 교육을 실시하고 있다 한편 풀무원은 2013년의 경우 서울과 경기 대전 강원지역에서 총 387회에 걸쳐 9113명의 어린이와 학부모 교사 등을 대상으로 ‘바른먹거리 캠페인’ 교육을 실시하는 등 4년간 1만9752명을 대상으로 교육을 실시한 바 있다 최윤호 기자 창닫기기사를 추천 하셨습니다30‘바른먹거리 캠페인’ 교육 1만 명 실시베스트 추천 뉴스“저 집 며느리로 못 가겠다” 반응에…崔가족이 공개한 사진“노조는 좋은 거다 이익만 탐내는 귀족노조 빼고”단독윤석열 “특검때 박근혜 불구속 계획”… 당내 “친박 지지 겨냥”‘정의연 후원금 유용 혐의’ 윤미향 기소 11개월 만에 재판 나온다신혼여행지 하와이도 파리도 아니다…‘빈민촌’으로 떠난 부부홍준표 尹측 돌고래 멸치 비유에 “실언 연발…자중하라” 300
동아일보,“두부 응용식품 ‘하프앤하프’ 뜨거운 반응… 시장 규모 3년 내 1000억 원까지 늘 것”,■ 이효율 풀무원식품 사장 육가공 대체메뉴 직접 챙겨 “두부 응용식품 시장은 앞으로 3년 안에 1000억 원 규모까지 늘어날 식품업계의 ‘블루오션’입니다” 이효율 풀무원식품 사장사진은 20일 동아일보와 인터뷰를 갖고 “두부가 주원료인 육가공 대체식품 브랜드 ‘하프앤하프’에 대한 소비자들의 반응이 무척 뜨겁다”고 말했다 하프앤하프는 국내 두부시장 1위 업체인 풀무원이 1년 반 동안 전담인력 16명을 투입·개발해 이달 초 선보인 레드미트붉은색을 띠는 쇠고기·돼지고기 대체식품 브랜드다 이 사장은 “고단백 저지방 완전 영양식품인 두부를 써서 칼로리와 지방 함량은 낮추면서도 맛과 풍미는 살린 것이 특징”이라고 말했다 124965211 1 1 15952770652440 15952770652440 궁중요리인 두부선膳을 비롯해 햄버거스테이크 너비아니 등 동서양을 넘나드는 하프앤하프의 메뉴는 풀무원 개발팀이 국내외 맛집은 죄다 찾아다니며 발품을 팔아 건진 것들이다 주요기사 “尹캠프 합류 압박” “당행사 불참 종용”… 野 파열음 커져신혼여행지 하와이도 파리도 아니다‘빈민촌’으로 떠난 부부 이 사장은 매일 점심식사를 사내 메뉴개발실에 들러 시제품이나 개발팀이 외부 식당에서 사온 참고용 음식으로 해결하며 하프앤하프의 개발 과정을 직접 챙겼다 해외 출장 중에도 맛있는 두부요리를 발견하면 포장을 한 뒤 아이스박스에 담아 항공편으로 국내 개발팀에 보냈다 이 사장은 “개발팀이 매달 청구하는 교통비 식비 영수증만 해도 어마어마했다”며 “개발에 참여한 직원들은 산해진미를 섭렵하느라 다들 체중이 10 이상 늘었다”며 웃었다 주부 고객들의 목소리도 하프앤하프의 개발에 큰 도움이 됐다 이 사장은 “인스턴트식품만 좋아하는 어린 자녀를 둔 주부 다이어트 때문에 고생하는 여학생 잦은 야식으로 늘어난 뱃살이 고민인 직장인 등 다양한 의견을 들으려고 노력했다”며 “그 결과물이 맛있으면서도 간편하게 조리할 수 있는 제품”이라고 말했다 하프앤하프는 풀무원이 벌여온 ‘바른 먹거리’ 캠페인과도 맥이 통하는 음식이다 이 사장은 “콩 단백질 1을 생산하는 데 드는 에너지 비용은 쇠고기나 돼지고기를 생산하는 데 드는 에너지의 40분의 1 수준”이라며 “하프앤하프는 그런 점에서 환경보호에도 도움이 되는 바른 먹거리”라고 강조했다전성철 기자 창닫기기사를 추천 하셨습니다“두부 응용식품 ‘하프앤하프’ 뜨거운 반응… 시장 규모 3년 내 1000억 원까지 늘 것”베스트 추천 뉴스“저 집 며느리로 못 가겠다” 반응에…崔가족이 공개한 사진“노조는 좋은 거다 이익만 탐내는 귀족노조 빼고”단독윤석열 “특검때 박근혜 불구속 계획”… 당내 “친박 지지 겨냥”‘정의연 후원금 유용 혐의’ 윤미향 기소 11개월 만에 재판 나온다신혼여행지 하와이도 파리도 아니다…‘빈민촌’으로 떠난 부부홍준표 尹측 돌고래 멸치 비유에 “실언 연발…자중하라” 300 하프앤하프이효율 사장
동아일보,"풀무원다논, 국제낙농연맹 연차총회서 ‘요거트 시장 성장과 혁신’ 발표",16일 대전 컨벤션 센터에서 열린 ‘2018 국제낙농연맹 연차 총회’에서 풀무원다논 센터의 임광세 소장이 ‘요거트 시장의 성장 기회와 혁신’을 주제로 발표하고 있다 사진제공풀무원다논요거트 전문기업 풀무원다논대표 정희련은 지난 16일 대전 컨벤션 센터에서 열린 ‘2018 국제낙농연맹 연차 총회’에서 ‘요거트 시장의 성장 기회와 혁신’ 을 주제로 발표했다고 17일 밝혔다국제낙농연맹 연차총회는 전세계 낙농분야 리더들이 산업동향과 현안정보를 공유하고 미래를 모색하는 세계 낙농 분야 축제의 장이다 이번 총회는 국제낙농연맹 낙농진흥회 주최로 지난 15일부터 오는 19일까지 대전 컨벤션센터에서 열리며 세계 52개국 1500여명의 낙농지도자가 참석하고 150여 명의 연자가 세계 낙농의 현주소와 미래에 대해 논의했다낙농과학기술 분야 컨퍼런스에서 발표를 맡은 풀무원다논 센터의 임광세 소장은 세계 요거트 시장 산업규모 최신 트렌드를 바탕으로 시장의 전망과 성장 동력을 제시했다 발표 자료에 따르면 전세계 요거트 시장은 최근 3년 간 연평균 약 46 지속적으로 성장하고 있고 이 중 아시아는 최근 3년 간 91 성장하며 전세계 요거트 시장 지역 중 중요 시장으로 급부상하고 있다 요거트와 발효유를 아우르는 전체 시장 중에서는 요거트 기업 다논이 유로모니터 2018년 기준 163로 가장 높은 점유율을 보이며 전세계 발효유 시장을 견인하고 있었다 124965211 1 1 15952770652440 15952770652440 임 소장은 산업 현황 자료에 이어 나날이 성장하고 있는 세계 요거트 시장의 최신 트렌드에 대해 소개하며 주목해야 할 미래 요거트 시장의 성장 동력으로 요거트의 건강적 이점을 극대화할 수 있는 기능성과 휴대의 편리성 현대인의 라이프스타일을 반영한 요거트의 스낵화 등 다양한 형태로의 신제품 개발을 강조했다 관련기사 삼성전자가 인수한 지랩스 어떤 기업…스페인 망분석 전문기업수입 중고차로 되팔면…제값 1등은 벤츠 클래스유튜브 전 세계 서버 한때 ‘먹통’…원인은 ‘아직’‘카카오 카풀’ 운전자 모집에 택시업계 강력 반발내가 점찍은 아파트 올가을 분양될까…헷갈리는 분양보증 ‘희비’ 관련기사 3건 더보기 풀무원다논 관계자는 “다논이 보유한 요거트 기술을 바탕으로 한국인들의 입맛에 맞는 맛있고 영양가 높은 요거트를 개발 ·생산하기 위해 아낌없는 투자를 계속해 나가겠다 이를 통해 전세계 요거트 시장에 새로운 패러다임을 열어갈 것”이라고 밝혔다 한편 정희련 대표가 이끄는 풀무원다논은 풀무원의 바른 먹거리 철학과 100년 발효 역사를 지닌 프랑스 다논의 요거트 기술이 더해져 2012년에 설립된 요거트 전문 기업이다 프랑스 다논이 보유한 4000여종의 유산균 중 엄선된 프로바이오틱스를 기반으로 ‘액티비아’ ‘아이러브요거트’ ‘풀무원다논 그릭’ 등의 제품을 판매하고 있다동아닷컴 최용석 기자 8창닫기기사를 추천 하셨습니다풀무원다논 국제낙농연맹 연차총회서 ‘요거트 시장 성장과 혁신’ 발표베스트 추천 뉴스“저 집 며느리로 못 가겠다” 반응에…崔가족이 공개한 사진“노조는 좋은 거다 이익만 탐내는 귀족노조 빼고”단독윤석열 “특검때 박근혜 불구속 계획”… 당내 “친박 지지 겨냥”‘정의연 후원금 유용 혐의’ 윤미향 기소 11개월 만에 재판 나온다신혼여행지 하와이도 파리도 아니다…‘빈민촌’으로 떠난 부부홍준표 尹측 돌고래 멸치 비유에 “실언 연발…자중하라” 300
동아일보,"풀무원다논 그릭,  2년 연속 두 자릿수 성장",소비자가 ‘풀무원 다논 그릭 프로즌 딸기맛’을 고르고 있다 풀무원다논 그릭은 무더운 여름 얼려먹는 프로즌 제품 인기에 힘입어 소비자들로부터 좋은 반응을 얻고 있다 풀무원다논대표 정희련은 ‘풀무원다논 그릭’이 무더운 여름철을 겨냥한 시즌 상품 ‘그릭 프로즌’ 인기에 힘입어 2년 연속 두 자릿수 성장세를 이어갔다고 21일 밝혔다 시장 조사기관 닐슨코리아의 리테일 인덱스소매지수에 따르면 풀무원다논 그릭요거트는 지난해2016년 7월2017년 6월 111 성장한데 이어 올해2017년 7월2018년 6월에도 275의 성장률을 기록하며 3년 연속 국내 그릭요거트 시장 1위 자리를 지킨 것으로 나타났다 이는 전년 대비 164 증가한 수치다 닐슨코리아 자료에 따르면 국내 그릭요거트 제품 총 판매 물량은 지난 1년새 약 98 성장했는데 풀무원 다논 그릭은 이보다 3배 높은 성장률을 보였다 124965211 1 1 15952770652440 15952770652440 풀무원 다논 측은 “이같은 성장세는 국내 그릭요거트 시장의 확대와 소비자들의 니즈를 충족한 다양한 형태의 제품을 출시한 결과로 풀이된다”고 전했다 관련기사 코스트코 앞으로 삼성→현대카드 사용…기존 고객은 “유예기간 충분히”시금치 130↑…최악 폭염에 생산자물가 46개월來 ‘최고’박성현 9개월 만에 여자 골프 세계랭킹 1위 탈환이낙연 총리 “국무위원 모두 자리 걸고 ‘고용 위기’ 타개”애플 삼성 또 따라하나…아이폰 대화면 모방 이어 차기작 ‘펜’ 적용 관련기사 3건 더보기 ‘풀무원다논 그릭’은 국내 시판 중인 그릭요거트 중 가장 다양한 제품 라인업을 보유하고 있다 떠먹는 제품 외에도 얼려 먹는 ‘풀무원다논 그릭 프로즌’을 2016년부터 여름 시즌 상품으로 출시하고 있고 작년에는 마시는 제품인 ‘풀무원다논 그릭 드링크’을 새롭게 선보였다 특히 부드럽고 진한 풍미의 그릭요거트만 100 담아 그대로 얼려 먹는 제품인 ‘풀무원다논 그릭 프로즌’은 100년 만의 폭염을 맞아 소비자들로부터 좋은 반응을 얻고 있다 올해에는 파우치에 담아 먹기 편한 형태로 만든 ‘풀무원다논 그릭 프로즌 파우치’까지 선보이며 소비자들의 다양한 니즈를 충족하고 있다 풀무원다논 그릭 브랜드 담당자는 “풀무원다논 그릭의 성장세는 최근 소비자들의 니즈와 선호도를 적극적으로 라인업에 반영한 결과”라며 “앞으로 한국인들의 입맛에 맞는 맛있고 영양가 높은 요거트를 개발 생산하기 위해 아낌없는 투자를 이어나갈 것”이라고 밝혔다 한편 7월부터 진행된 ‘풀무원다논 그릭과 함께하는 쿨확행 캠페인’의 온라인 인증샷 이벤트도 소비자들로부터 좋은 반응을 얻고 있다 이번달 31일까지 진행되며 참여 방법은 다논 그릭 제품 구매 인증샷을 개인 에 업로드하고 이벤트 페이지에 접속해 참여 양식을 제출하면 된다 매주 추첨을 통해 8주간 888명에게 경품을 제공한다‘풀무원다논 그릭’을 생산·판매하고 있는 풀무원다논은 풀무원의 바른 먹거리 철학과 100년 발효 역사를 지닌 프랑스 다논의 세계 1위 요거트 기술이 더해져 설립된 요거트 전문 기업이다동아닷컴 최용석 기자 8창닫기기사를 추천 하셨습니다풀무원다논 그릭 2년 연속 두 자릿수 성장베스트 추천 뉴스“저 집 며느리로 못 가겠다” 반응에…崔가족이 공개한 사진“노조는 좋은 거다 이익만 탐내는 귀족노조 빼고”단독윤석열 “특검때 박근혜 불구속 계획”… 당내 “친박 지지 겨냥”‘정의연 후원금 유용 혐의’ 윤미향 기소 11개월 만에 재판 나온다신혼여행지 하와이도 파리도 아니다…‘빈민촌’으로 떠난 부부홍준표 尹측 돌고래 멸치 비유에 “실언 연발…자중하라” 300
동아일보,"[기업 브리핑]LG전자 ‘이제, 엄마의 …’ 이벤트 外",■ 전자 ‘이제 엄마의 …’ 이벤트전자가 고객들의 사연을 받아 양문형 냉장고 ‘디오스’ 신제품을 매일 한 대씩 선물하는 ‘이제 엄마의 냉장고도 매직 스페이스 시대’ 이벤트를 31일까지 진행한다 참여를 원하는 고객은 어머니에게 디오스 냉장고가 필요한 사연을 전자 디오스 홈페이지에 올리거나 본인의 블로그에 남긴 뒤 해당 주소를 홈페이지에 등록하면 된다■ 용 사파이어 잉곳 첫 출하 1 400 400 400 400 400 135 11203 210102020 업비트 투자자 보호 센터 는 발광다이오드용 사파이어 잉곳 제품을 처음 출하하고 세계시장 공략에 나선다고 4일 밝혔다 는 최근 전북 전주 공장에서 ‘수출용 사파이어 잉곳 출하 기념식’을 갖고 2인치 4인치 제품과 함께 고부가가치 제품인 6인치 제품도 생산한다고 발표했다 는 2015년까지 세계 잉곳 시장의 20를 차지해 이 제품의 글로벌 ‘톱3’로 도약한다는 목표를 세웠다■ 풀무원 ‘바른 먹거리 확인 캠페인’풀무원은 올해 ‘2012년 바른 먹거리 확인 캠페인’을 초등학생 3600여 명을 대상으로 240회에 걸쳐 실시한다고 4일 밝혔다 기존 2800명보다 규모가 늘었고 초등학교와 매장뿐 아니라 대안학교와 지역아동센터에서도 확대 실시할 계획이다 바른 먹거리 확인 캠페인은 초등학생들에게 식품첨가물 및 성분 표시 유통기한 등을 확인하는 법을 설명해주는 사회공헌 프로그램이다 주요기사 “尹캠프 합류 압박” “당행사 불참 종용”… 野 파열음 커져신혼여행지 하와이도 파리도 아니다‘빈민촌’으로 떠난 부부 창닫기기사를 추천 하셨습니다기업 브리핑전자 ‘이제 엄마의 …’ 이벤트 外베스트 추천 뉴스“저 집 며느리로 못 가겠다” 반응에…崔가족이 공개한 사진“노조는 좋은 거다 이익만 탐내는 귀족노조 빼고”단독윤석열 “특검때 박근혜 불구속 계획”… 당내 “친박 지지 겨냥”‘정의연 후원금 유용 혐의’ 윤미향 기소 11개월 만에 재판 나온다신혼여행지 하와이도 파리도 아니다…‘빈민촌’으로 떠난 부부홍준표 尹측 돌고래 멸치 비유에 “실언 연발…자중하라” 300
