,명사,횟수
0,라즈,4
1,주위,4
2,카테고리,4
3,관통,4
4,맨션,4
5,입점,4
6,노아,4
7,판매액,4
8,주입,4
9,드럼통,4
10,대행,4
11,호스,4
12,이천시,4
13,소방관,4
14,청원,4
15,제때,4
16,인명,4
17,노동부,4
18,관여,4
19,전선,4
20,스프링클러,4
21,떼,4
22,분간,4
23,마중물,4
24,토탈,4
25,노르웨이,4
26,부사장,4
27,고압,4
28,이철우,4
29,레드,4
30,국토연구원,4
31,생태관광,4
32,유언,4
33,우상,4
34,생전,4
35,불가리스,4
36,진열,4
37,쯤,4
38,청문회,4
39,승계,4
40,할아버지,4
41,응원,4
42,소원,4
43,출부,4
44,교육청,4
45,미설치,4
46,비상근무,4
47,양재현,4
48,경인,4
49,국외,4
50,직무,4
51,대리,4
52,유관,4
53,고취,4
54,화장지,4
55,해수부,4
56,이력,4
57,잘못,4
58,바닷속,4
59,여지,4
60,기재,4
61,결의,4
62,경위,4
63,심도,4
64,소홀,4
65,예천군,4
66,보호구역,4
67,인허가,4
68,파르스,4
69,사우디아라비아,4
70,미얀마,4
71,강북,4
72,허가제,4
73,파문,4
74,지에스,4
75,관옥,4
76,제일은행,4
77,에스,4
78,도와,4
79,학과,4
80,중복,4
81,호남,4
82,여종,4
83,결합,4
84,육지,4
85,약용,4
86,생리,4
87,확립,4
88,계통,4
89,바이오매스,4
90,현미경,4
91,폐아,4
92,스콘,4
93,아스,4
94,제프,4
95,셰퍼드,4
96,레이스,4
97,이례,4
98,고래,4
99,일기,4
100,임의,4
101,근화,4
102,소양동,4
103,일치,4
104,왕립,4
105,지양,4
106,발족,4
107,이정하,4
108,동양,4
109,강유,4
110,전신,4
111,평가서,4
112,유보,4
113,유권,4
114,변호사,4
115,진료,4
116,즉시,4
117,대세,4
118,보복,4
119,후발,4
120,기고,4
121,표명,4
122,흉물,4
123,불길,4
124,이장은,4
125,농사,4
126,광양시,4
127,기체,4
128,반성,4
129,현행법,4
130,증원,4
131,계열,4
132,환불,4
133,테르,4
134,선지급,4
135,풍경,4
136,담벼락,4
137,고추,4
138,기약,4
139,농부,4
140,조분,4
141,아산시,4
142,과소평가,4
143,엽산,4
144,인하,4
145,교실,4
146,선천성,4
147,참고,4
148,발목,4
149,간주,4
150,혈액,4
151,생체,4
152,프탈,4
153,침실,4
154,설탕,4
155,소화,4
156,범벅,4
157,법무부,4
158,행성,4
159,더미,4
160,중위,4
161,봉지,4
162,비행단,4
163,정서,4
164,지구촌,4
165,위상,4
166,가열,4
167,유착,4
168,개편,4
169,클러스터,4
170,단기간,4
171,시사,4
172,이상식,4
173,신청서,4
174,딕스,4
175,임대,4
176,성남시,4
177,파마,4
178,남미,4
179,번지,4
180,제약,4
181,약물,4
182,대덕,4
183,도로는,4
184,캔버스,4
185,숙박,4
186,수련,4
187,죽변,4
188,레일,4
189,양사,4
190,냉매,4
191,냉동식품,4
192,폐합,4
193,정황,4
194,장병,4
195,노란색,4
196,와인,4
197,실용,4
198,대유행,4
199,대란,4
200,셋째,4
201,홍콩,4
202,니블로,4
203,수송부,4
204,모빌,4
205,잭슨,4
206,검시관,4
207,악명,4
208,적서,4
209,동료,4
210,왕복,4
211,오보,4
212,페스,4
213,레스토랑,4
214,욕구,4
215,입학,4
216,풀이,4
217,닭,4
218,라임,4
219,이어가기,4
220,북도,4
221,행정명령,4
222,공동대책위원회,4
223,지질,4
224,벨트,4
225,슈퍼마켓,4
226,시세,4
227,데이,4
228,섭씨,4
229,시판,4
230,퇴출,4
231,혼란,4
232,김영균,4
233,회용,4
234,입항,4
235,계좌,4
236,공영,4
237,합중국,4
238,쉐아,4
239,쾌거,4
240,국공립,4
241,천장,4
242,도내,4
243,임차,4
244,중첩,4
245,관제탑,4
246,막사,4
247,소재지,4
248,종전,4
249,표창,4
250,박정현,4
251,대상자,4
252,옹벽,4
253,정복영,4
254,연구회,4
255,세미나,4
256,강행,4
257,은지,4
258,비유,4
259,한창,4
260,치열,4
261,망간,4
262,파출소,4
263,출전,4
264,어획량,4
265,간척,4
266,산호초,4
267,명예,4
268,국책,4
269,보리,4
270,벅스,4
271,스톡,4
272,변수,4
273,음성,4
274,미흡,4
275,응용,4
276,생리대,4
277,양해,4
278,여,4
279,실외,4
280,배출구,4
281,비철,4
282,종이컵,4
283,소각재,4
284,강청,4
285,미연,4
286,플리스,4
287,정주,4
288,히어로,4
289,연료유,4
290,함량,4
291,단축,4
292,관제,4
293,구독,4
294,선명,4
295,변동,4
296,몰입,4
297,김영태,4
298,가소제,4
299,남태평양,4
300,양천구,4
301,강과,4
302,하장,4
303,눈길,4
304,관학,4
305,촉발,4
306,갯벌연구소,4
307,곡성,4
308,절,4
309,업장,4
310,업사,4
311,경감,4
312,토양보전,4
313,잠재,4
314,경비,4
315,양구군,4
316,빈발,4
317,행정소송,4
318,오명근,4
319,훈장,4
320,이성현,4
321,앤드루,4
322,철광석,4
323,셀,4
324,기온,4
325,사업체,4
326,연내,4
327,출품,4
328,마릿수,4
329,돼지고기,4
330,방폐,4
331,컨트롤,4
332,자진,4
333,산시,4
334,꼴,4
335,구아나바라,4
336,헤알,4
337,청풍,4
338,빚,4
339,염료,4
340,사흘,4
341,싱크,4
342,아랍에미리트,4
343,석방,4
344,장형진,4
345,원상,4
346,서상원,4
347,유실,4
348,플랑크톤,4
349,쇼핑백,4
350,강서구,4
351,갈산,4
352,닐,4
353,무선,4
354,케이블,4
355,지름,4
356,태아,4
357,채굴장,4
358,염화수소,4
359,김현주,4
360,눈물,4
361,항해사,4
362,천지,4
363,뭔가요,4
364,귀추,4
365,고속버스,4
366,카,4
367,고품질,4
368,사육장,4
369,오승록,4
370,이건영,4
371,정원근,4
372,하수관,4
373,두렁,4
374,성동,4
375,조은희,4
376,아락,4
377,오버추어,4
378,충격파,4
379,소닉붐,4
380,분사,4
381,승조원,4
382,함선,4
383,감기,4
384,진종오,4
385,참나리,4
386,하늘말나리,4
387,귀룽나무,4
388,건식,4
389,진심,4
390,김영욱,4
391,치석,4
392,따개비,4
393,바닐라,4
394,가위,4
395,포카,4
396,포스터,4
397,애기,4
398,서초역,4
399,모어,4
400,비거,4
401,거닝,4
402,트윗,3
403,스파,3
404,다큐,3
405,요새,3
406,영하,3
407,예정지,3
408,이웃,3
409,믿음,3
410,스카이,3
411,쓰레기통,3
412,벤치,3
413,지리산,3
414,장갑,3
415,환경미화원,3
416,겔,3
417,판교,3
418,수증기,3
419,캠핑,3
420,크리,3
421,영장,3
422,용도,3
423,전동,3
424,킥,3
425,보드,3
426,페이,3
427,스압,3
428,아크,3
429,문자,3
430,제일,3
431,초보,3
432,정규장,3
433,에버,3
434,저울,3
435,요약,3
436,캐시,3
437,분할,3
438,자연재해,3
439,이대로,3
440,바이든,3
441,파키스탄,3
442,남아,3
443,소년,3
444,민폐,3
445,공주,3
446,집집,3
447,초딩,3
448,편의점,3
449,럼,3
450,유학,3
451,디스,3
452,틱톡,3
453,컨,3
454,등등,3
455,원가,3
456,긔,3
457,화물차,3
458,튜,3
459,땜,3
460,수압,3
461,바위,3
462,전부,3
463,재,3
464,참,3
465,민국,3
466,생명체,3
467,부자,3
468,한파,3
469,성경,3
470,대가리,3
471,짓,3
472,어획,3
473,하사,3
474,노벨,3
475,영구,3
476,허파,3
477,낙하,3
478,이민,3
479,장려,3
480,아이러니,3
481,정면,3
482,색히,3
483,거북이,3
484,기관차,3
485,이낙연,3
486,걸까,3
487,도라,3
488,노래,3
489,외식업,3
490,열풍,3
491,레딧,3
492,황폐,3
493,침,3
494,번역,3
495,허공,3
496,석화,3
497,석회,3
498,고순,3
499,합성어,3
500,에틸렌,3
501,강도,3
502,넥,3
503,강찬수,3
504,영웅,3
505,교통사고,3
506,생후,3
507,땔감,3
508,기관지염,3
509,마이크로미터,3
510,생애,3
511,징후,3
512,결핍,3
513,우울증,3
514,광장,3
515,출범식,3
516,지방세법,3
517,단양군,3
518,만성,3
519,수확량,3
520,적합,3
521,도구,3
522,금요일,3
523,대피,3
524,주부,3
525,일요일,3
526,낮,3
527,핫,3
528,류희림,3
529,엑스포,3
530,기판,3
531,원액,3
532,지류,3
533,김치,3
534,개봉,3
535,삼진,3
536,토익,3
537,관람,3
538,최예용,3
539,추방,3
540,대명사,3
541,최열,3
542,은폐,3
543,불매,3
544,심재곤,3
545,수습,3
546,인사,3
547,사망률,3
548,감면,3
549,명목,3
550,이관,3
551,완충,3
552,지지부진,3
553,장마,3
554,이재용,3
555,당선,3
556,성산,3
557,청천,3
558,박근혜,3
559,디테일,3
560,질타,3
561,관료,3
562,퇴직,3
563,관심사,3
564,정례,3
565,실무자,3
566,타스,3
567,초치,3
568,청해,3
569,아카이브,3
570,호응,3
571,너머,3
572,실측,3
573,벌레,3
574,팁,3
575,스튜디오,3
576,토크,3
577,결실,3
578,보강,3
579,하역,3
580,액화천연가스,3
581,청정기,3
582,벼,3
583,임선민,3
584,수생,3
585,레인,3
586,활약,3
587,워시,3
588,계량,3
589,프리,3
590,소량,3
591,화분,3
592,커머스,3
593,프로모션,3
594,후면,3
595,파블로,3
596,라다,3
597,촉매,3
598,대학원생,3
599,종로구,3
600,류구,3
601,하소연,3
602,기점,3
603,견,3
604,보호법,3
605,서산,3
606,병충해,3
607,인시,3
608,화제,3
609,조감도,3
610,코스트,3
611,공청회,3
612,동백,3
613,청원서,3
