,명사,횟수
0,집행유예,2
1,유죄,2
2,스탠다드,2
3,타드,2
4,시간대,2
5,중턱,2
6,쇳가루,2
7,조립,2
8,대류,2
9,민물,2
10,대체물,2
11,소질,2
12,기상학,2
13,식물학,2
14,조제,2
15,농학,2
16,거름,2
17,동정,2
18,칩,2
19,열분해,2
20,니다,2
21,수강,2
22,전정아,2
23,강좌,2
24,계면,2
25,활성제,2
26,여행자,2
27,광산구,2
28,송정동,2
29,삼베,2
30,리유,2
31,복귀,2
32,기대감,2
33,아산화질소,2
34,머,2
35,이용한,2
36,블루머,2
37,하원,2
38,진짜,2
39,취미,2
40,콧구멍,2
41,입꼬리,2
42,신비,2
43,논과,2
44,박수혁,2
45,기저,2
46,폐암,2
47,로스엔젤레스,2
48,증후군,2
49,곽노필,2
50,체가,2
51,투명도,2
52,풍압,2
53,비위,2
54,산적,2
55,환경연대,2
56,역환,2
57,특혜,2
58,법제처,2
59,처장,2
60,최소한,2
61,클린,2
62,소아,2
63,고환,2
64,추은호,2
65,조개껍데기,2
66,일거양득,2
67,아포,2
68,즐거움,2
69,한라산,2
70,바닷가,2
71,방학,2
72,물빛,2
73,문턱,2
74,분지,2
75,불꽃놀이,2
76,의존도,2
77,발등,2
78,위장환,2
79,터다,2
80,채비,2
81,관세,2
82,가감,2
83,결정판,2
84,으뜸,2
85,풍미,2
86,견지,2
87,천억,2
88,홍남기,2
89,입법안,2
90,대목,2
91,저개발,2
92,림,2
93,성폭력,2
94,사이버,2
95,재건축,2
96,검댕,2
97,목,2
98,옥상,2
99,고소,2
100,출장,2
101,김기성,2
102,퇴진,2
103,비상시,2
104,빙산,2
105,구대선,2
106,상무,2
107,갈무리,2
108,무마,2
109,억지,2
110,철근,2
111,가열로,2
112,양승조,2
113,칼리보,2
114,칼리,2
115,보행,2
116,티켓,2
117,인천국제공항공사,2
118,박경만,2
119,의료비,2
120,보상비,2
121,경비원,2
122,담장,2
123,비상식,2
124,훈련장,2
125,좌우,2
126,국무부,2
127,기밀,2
128,무한,2
129,캐슬,2
130,가세,2
131,사무관,2
132,공석,2
133,뒤편,2
134,통일,2
135,군용,2
136,김영환,2
137,장정구,2
138,입원,2
139,호안,2
140,축조,2
141,수산청,2
142,백만,2
143,강장,2
144,견수,2
145,렴,2
146,작업장,2
147,운,2
148,김재형,2
149,상고심,2
150,사온,2
151,상대방,2
152,패소,2
153,두말,2
154,캘리포니아주,2
155,광화학,2
156,기청,2
157,콜로,2
158,예일대,2
159,세정제,2
160,화학계,2
161,로스앤젤레스,2
162,연구사,2
163,과소,2
164,장작,2
165,주소,2
166,린,2
167,택시,2
168,부정부패,2
169,신분,2
170,아펙,2
171,최현준,2
172,진도,2
173,비염,2
174,소변,2
175,하은희,2
176,표,2
177,몸무게,2
178,이기,2
179,자연광,2
180,엘이디,2
181,중도,2
182,파장,2
183,우울,2
184,충치,2
185,흰쌀밥,2
186,혈당,2
187,당뇨,2
188,피시비,2
189,평균치,2
190,고농도,2
191,키세,2
192,서쪽,2
193,부산진구,2
194,되풀이,2
195,신차,2
196,레이,2
197,쌍용,2
198,블로그,2
199,년차,2
200,균열,2
201,독,2
202,면책,2
203,트럭,2
204,조억동,2
205,대통령령,2
206,난립,2
207,말레이시아,2
208,거절,2
209,역부족,2
210,생물학자,2
211,후폭풍,2
212,지지자,2
213,급락,2
214,변심,2
215,군용기,2
216,에어쇼,2
217,편대,2
218,조종사,2
219,저속,2
220,웨클,2
221,최대치,2
222,가산점,2
223,독립,2
224,플라자,2
225,세션,2
226,삼면,2
227,염두,2
228,당사국,2
229,출혈성,2
230,장내,2
231,햄,2
232,주스,2
233,소위,2
234,보류,2
235,경영난,2
236,장항선,2
237,근대,2
238,이듬해,2
239,감소세,2
240,고심,2
241,쇠퇴,2
242,이우성,2
243,문경삼,2
244,인물,2
245,충주댐,2
246,대륙,2
247,도원,2
248,일축,2
249,실마리,2
250,우선,2
251,이해관계,2
252,불사,2
253,확답,2
254,렛,2
255,소모품,2
256,나뭇잎,2
257,환방,2
258,향족,2
259,메디컬,2
260,총수,2
261,윤성태,2
262,박효순,2
263,수정구,2
264,기폭제,2
265,관계사,2
266,금년,2
267,빗,2
268,메이커,2
269,썸,2
270,스푸트니크,2
271,국부,2
272,오송,2
273,배양기,2
274,바이알,2
275,존슨,2
276,롤,2
277,유산균,2
278,루비,2
279,노락,2
280,토가,2
281,돌풍,2
282,니즈,2
283,사군자,2
284,건기,2
285,다방면,2
286,심부전,2
287,난치성,2
288,적격,2
289,일월산,2
290,풍화,2
291,흙빛,2
292,호로,2
293,각각,2
294,탐광,2
295,장병희,2
296,문헌,2
297,무대,2
298,게릴라전,2
299,오지,2
300,낙후,2
301,표지판,2
302,차선,2
303,장수,2
304,수몰,2
305,천은,2
306,평탄,2
307,이용자,2
308,방문객,2
309,플레이스,2
310,수비면,2
311,가로등,2
312,펜션,2
313,대공원,2
314,하트,2
315,모노레일,2
316,해안선,2
317,소공원,2
318,울진,2
319,해중전,2
320,망대,2
321,다리,2
322,시가,2
323,공공시설,2
324,직관,2
325,타격,2
326,머서,2
327,공군기지,2
328,시추,2
329,유야무야,2
330,거액,2
331,사별,2
332,흠,2
333,잎사귀,2
334,근현대,2
335,취향,2
336,직격탄,2
337,중고품,2
338,옷장,2
339,리드,2
340,스타벅,2
341,주물,2
342,윤미향,2
343,본체,2
344,설상가상,2
345,폐기량,2
346,부직포,2
347,상품명,2
348,무독,2
349,렌터카,2
350,유력,2
351,학회,2
352,평상시,2
353,니블,2
354,증명서,2
355,응급실,2
356,권장,2
357,학년도,2
358,재사,2
359,용처,2
360,너비,2
361,아크릴,2
362,주의보,2
363,허베이,2
364,도색,2
365,징진,2
366,홍제동,2
367,자택,2
368,본드,2
369,냥,2
370,운명,2
371,녀석,2
372,혼식,2
373,지원자,2
374,면접,2
375,양재동,2
376,대중교통,2
377,해산물,2
378,선호도,2
379,피곤,2
380,단식,2
381,감자,2
382,달걀,2
383,수동,2
384,사양,2
385,체력,2
386,고등학교,2
387,물결,2
388,열대,2
389,폭설,2
390,부응,2
391,방호,2
392,식별,2
393,군데,2
394,공연,2
395,합병증,2
396,이주노,2
397,동자,2
398,숙소,2
399,캄보디아,2
400,접대,2
401,수수,2
402,할인점,2
403,완구,2
404,설과,2
405,사은품,2
406,점포,2
407,정미선,2
408,펌프,2
409,눈치,2
410,효용,2
411,비정부,2
412,카타리,2
413,히스,2
414,아라,2
415,포클랜드,2
416,비관,2
417,물국,2
418,체인지,2
419,강추위,2
420,핼리,2
421,윤태,2
422,안경,2
423,유량계,2
424,권경수,2
425,재검토,2
426,물감,2
427,대응책,2
428,하수도법,2
429,유인,2
430,최재필,2
431,쓰레기봉투,2
432,구이,2
433,광경,2
434,파이,2
435,궤,2
436,유다,2
437,고령화,2
438,해답,2
439,에너지부,2
440,프린터,2
441,포상,2
442,스티브,2
443,잡스,2
444,열처리,2
445,고양,2
446,박재구,2
447,김상호,2
448,나열,2
449,기술인,2
450,무교육,2
451,이수,2
452,박윤환,2
453,해사,2
454,침입,2
455,선체,2
456,외판,2
457,외래종,2
458,복수,2
459,총연장,2
460,내산,2
461,사본,2
462,일괄,2
463,빗물받이,2
464,재떨이,2
465,이준호,2
466,무가,2
467,집진기,2
468,방조,2
469,민회,2
470,합금,2
471,성형,2
472,자외선,2
473,이광용,2
474,페인,2
475,호해,2
476,보배,2
477,진하,2
478,조롱,2
479,무분별,2
480,정돈,2
481,갈대밭,2
482,우기,2
483,오션스,2
484,후퇴,2
485,학부모,2
486,영유,2
487,호의,2
488,이상인,2
489,잠시,2
490,토양층,2
491,목장,2
492,수문,2
493,연성,2
494,클리브랜드,2
495,추부트강,2
496,설사,2
497,공학자,2
498,색소,2
499,침착,2
500,여대,2
501,증축,2
502,공장장,2
503,참고인,2
504,휴업,2
505,효능,2
506,과대광고,2
507,수입업자,2
508,보충,2
509,리터,2
510,란,2
511,유화,2
512,위축,2
513,유무,2
514,편익,2
515,제어,2
516,심사원,2
517,군비,2
518,풀베기,2
519,가까이,2
520,방재,2
521,밤나무,2
522,종사,2
523,차수,2
524,준기,2
525,리포트,2
526,강산,2
527,성지,2
528,유효,2
529,의의,2
530,소비지,2
531,신선도,2
532,각지,2
533,상사,2
534,좌초,2
535,배소,2
536,최신식,2
537,윤준병,2
538,해마,2
539,나주시,2
540,청양,2
541,매립장,2
542,정국,2
543,페트로,2
544,차이나,2
545,더블,2
546,대용량,2
547,전극,2
548,황산,2
549,미관,2
550,관공서,2
551,소정,2
552,비치,2
553,산성화,2
554,부경,2
555,엄선,2
556,시발점,2
557,동아,2
558,신음,2
559,정진수,2
560,승수효과,2
561,기본소득,2
562,연쇄,2
563,분배,2
564,장래,2
565,양립,2
566,너구리,2
567,속성,2
568,네거티브,2
569,장애물,2
570,강타,2
571,농업용,2
572,최용석,2
573,장교,2
574,임기,2
575,어바인,2
576,그라운드,2
577,서양,2
578,신록,2
579,킬링,2
580,남반구,2
581,북반구,2
582,다,2
583,동남,2
584,수종,2
585,악몽,2
586,추첨,2
587,캐스트,2
588,열정,2
589,송대리,2
590,하우스,2
591,위기감,2
592,솔라,2
593,출퇴근,2
594,삼성엔지니어링,2
595,태국,2
596,라디오,2
597,구매자,2
598,오타쿠,2
599,적시,2
600,적자,2
601,비축,2
602,방지법,2
603,신뢰도,2
604,배석진,2
605,저기,2
606,수십조,2
607,격상,2
608,일몰,2
609,농심,2
610,배양육,2
611,뉴질랜드,2
612,사지원,2
613,방진벽,2
614,경화제,2
615,조율,2
616,전사,2
617,일석이조,2
618,역청,2
619,미결정,2
620,발명품,2
621,컬렉션,2
622,재킷,2
623,지퍼,2
624,효성,2
625,대만,2
626,공언,2
627,송전,2
628,자급,2
629,여타,2
630,슈퍼스테이션,2
631,위험물,2
632,열쇠,2
633,페이퍼,2
634,손잡이,2
635,요기,2
636,마케팅,2
637,리버스,2
638,리터치,2
639,최정훈,2
640,코텍,2
641,직선거리,2
642,콤플렉스,2
643,길이,2
644,북한산,2
645,반응기,2
646,황중유,2
647,트레이딩,2
648,인터내셔널,2
649,초저,2
650,유황,2
651,파란색,2
652,신고자,2
653,삼보컴퓨터,2
654,개구리,2
655,나스닥,2
656,멀티,2
657,중개,2
658,중남미,2
659,실물,2
660,간호사,2
661,정액,2
662,배정,2
663,노트북,2
664,부팅,2
665,이직,2
666,북마,2
667,니아,2
668,국기,2
669,스토리지,2
670,북태평양,2
671,메가와트,2
672,미달,2
673,고려대,2
674,감옥,2
675,장발,2
676,기념식,2
677,김사열,2
678,로봇산업,2
679,이코노미,2
680,상실감,2
681,일련,2
682,본질,2
683,귀촌,2
684,사교육,2
685,팽창,2
686,연금,2
687,초입,2
688,공세,2
689,마찰,2
690,과류,2
691,스킨,2
692,뱀,2
693,월요일,2
694,플레이,2
695,하안,2
696,한시,2
697,음속,2
698,동승자,2
699,카르마,2
700,워,2
701,과기,2
702,정통부,2
703,가입자,2
704,표기,2
705,두바이,2
706,청주시,2
707,자부심,2
708,주파,2
709,잠수부,2
710,김수영,2
711,도우미,2
712,일석,2
713,내포,2
714,리스트,2
715,윤성수,2
716,성시,2
717,선발,2
718,군위군,2
719,기호,2
720,한세,2
721,엠케이,2
722,듀,2
723,근속,2
724,연수,2
725,동복,2
726,맥스,2
727,직물,2
728,검은머리갈매기,2
729,노랑부리저어새,2
730,민물도요,2
731,센서스,2
732,대제,2
733,전봇대,2
734,둔지,2
735,농단,2
736,탐방객,2
737,몽고,2
738,보성군,2
739,양정원,2
740,갈대,2
741,축원,2
742,보하이만,2
743,허석,2
744,소병철,2
745,서동용,2
746,정론,2
747,심토,2
748,장암면,2
749,장하리,2
750,구세,2
751,송림동,2
752,만석동,2
753,충청남도,2
754,이재현,2
755,수탁,2
756,이정수,2
757,김진홍,2
758,예산군,2
759,안성식,2
760,입체,2
761,홍희,2
762,황경,2
763,패,2
764,적치,2
765,패류,2
766,캐릭터,2
767,단행,2
768,권승,2
769,취하,2
770,이동건,2
771,점유,2
772,문화일보,2
773,대외,2
774,벌금형,2
775,박성훈,2
776,보닛,2
777,교통안전공단,2
778,브레이크,2
779,불합격,2
780,만연,2
781,근화동,2
782,재단법인,2
783,고고,2
784,아파치,2
785,최준영,2
786,중재,2
787,재검증,2
788,수억,2
789,굶주림,2
790,영양실조,2
791,박모,2
792,변질,2
793,죽,2
794,당천,2
795,괴정,2
796,증평,2
797,탐,2
798,홍역,2
799,야드,2
800,살수장치,2
801,포그,2
802,냉각,2
803,김포,2
804,겸임,2
805,착용감,2
806,혼방,2
807,쿨링,2
808,잔존,2
809,멧돼지,2
810,임진,2
811,구제역,2
812,급속,2
813,매개체,2
814,기일,2
815,초소,2
816,임시,2
817,공로,2
818,진땀,2
819,일선,2
820,출자,2
821,근래,2
822,명가,2
823,이해완,2
824,이덕환,2
825,철골,2
826,세척제,2
827,전기세,2
828,곽,2
829,김장,2
830,배추,2
831,구석구석,2
832,안건,2
833,진정,2
834,통계청,2
835,기성,2
836,합격자,2
837,방어,2
838,속수무책,2
839,한몫,2
840,곡성군,2
841,길가,2
842,범,2
843,수천만,2
844,자선,2
845,살인,2
846,어린아이,2
847,폐로,2
848,박준우,2
849,예치,2
850,울주군,2
851,신화,2
852,허베이성,2
853,고속도로,2
854,김충남,2
855,정무,2
856,세차,2
857,집권,2
858,상정,2
859,동시대,2
860,조수,2
861,원효로,2
862,육아,2
863,기숙사,2
864,재투자,2
865,고령자,2
866,이주,2
867,영아,2
868,가사,2
869,강의,2
870,기섭,2
871,가담,2
872,공신력,2
873,낙제점,2
874,로잔,2
875,알약,2
876,호에,2
877,강동구,2
878,흡착제,2
879,세차장,2
880,분양,2
881,벤조피렌,2
