,명사,횟수
0,면피,1
1,시공사,1
2,발주자,1
3,권율정,1
4,존경,1
5,표상,1
6,이영주,1
7,넘버,1
8,퀴즈,1
9,미모,1
10,궁금증,1
11,학력,1
12,남학생,1
13,문안,1
14,도표,1
15,종합부동산세,1
16,당론,1
17,후진,1
18,아쉬움,1
19,입법화,1
20,발탁,1
21,좌절,1
22,동갑,1
23,이준석,1
24,세종연구소,1
25,패권,1
26,본문,1
27,전병,1
28,장요양,1
29,면회,1
30,노부부,1
31,정감,1
32,화이자,1
33,알츠하이머,1
34,첫걸음,1
35,치매,1
36,김형구,1
37,최지혜,1
38,태화강,1
39,분수대,1
40,창궐,1
41,이전인,1
42,둔화,1
43,백경서,1
44,기업지배구조,1
45,심종혁,1
46,하비에르,1
47,프란치스코,1
48,인솔자,1
49,례단,1
50,알뜨르,1
51,특강,1
52,걷기,1
53,컬리지,1
54,조지타운,1
55,예수회,1
56,교목,1
57,말끝,1
58,도전장,1
59,향도,1
60,즉흥,1
61,미소,1
62,유한,1
63,외로움,1
64,실의,1
65,블럼,1
66,심리학자,1
67,여행기,1
68,편집,1
69,답장,1
70,담론,1
71,편지,1
72,삼양,1
73,남인,1
74,책망,1
75,심석,1
76,쇄빙,1
77,아라온,1
78,극지,1
79,단표,1
80,층류,1
81,저명,1
82,학회지,1
83,이희지,1
84,김지수,1
85,어울림,1
86,현판식,1
87,대당,1
88,삼산동,1
89,십정동,1
90,시아,1
91,적립,1
92,대전환,1
93,솔선수범,1
94,차준택,1
95,굴포,1
96,구정,1
97,밑거름,1
98,타향살이,1
99,신접,1
100,월이,1
101,직계,1
102,령,1
103,지려,1
104,터득,1
105,초동,1
106,단결력,1
107,협동,1
108,면세품,1
109,배회,1
110,무착륙,1
111,득표율,1
112,속셈,1
113,재입국,1
114,참을성,1
115,처신,1
116,사서,1
117,쿠퍼스,1
118,국은,1
119,만과,1
120,한화그룹,1
121,틱,1
122,경복궁,1
123,이불,1
124,양말,1
125,의자,1
126,최우,1
127,음극,1
128,영감,1
129,최선욱,1
130,한국연구재단,1
131,박병주,1
132,박경순,1
133,젠드,1
134,장윤영,1
135,양재규,1
136,장민,1
137,장홍제,1
138,전임,1
139,홍영준,1
140,최진성,1
141,임준섭,1
142,광운대,1
143,울림,1
144,첫발,1
145,반데,1
146,네이버스,1
147,메리,1
148,과테말라,1
149,가드,1
150,종인,1
151,리워드,1
152,에브리,1
153,리페,1
154,아틀리에,1
155,선착순,1
156,벤쳐,1
157,트리플래닛,1
158,묘목,1
159,부액,1
160,양양,1
161,논화리,1
162,팝업,1
163,스토어,1
164,인사이트,1
165,강미숙,1
166,객원,1
167,막대,1
168,김민선,1
169,린스,1
170,이미연,1
171,오연수,1
172,이혜숙,1
173,탤런트,1
174,모발,1
175,윤기,1
176,동산,1
177,창포,1
178,비타민,1
179,드봉,1
180,내셔,1
181,세안,1
182,월평균,1
183,로즈마리,1
184,색상,1
185,노벨라,1
186,야자수,1
187,구관,1
188,차고,1
189,주유,1
190,기름통,1
191,단특,1
192,사경,1
193,말통,1
194,폐차장,1
195,하지만,1
196,시연,1
197,관청,1
198,영업장,1
