,명사,횟수
0,칼럼니스트,1
1,실소득,1
2,후인,1
3,증산,1
4,냉장고,1
5,레시피,1
6,최현미,1
7,냉동고,1
8,체적,1
9,임정환,1
10,민정,1
11,혜,1
12,홍천,1
13,양덕,1
14,안성천,1
15,통복,1
16,승천,1
17,보강천,1
18,구밀,1
19,방로,1
20,장양,1
21,합천군,1
22,아천,1
23,박미자,1
24,등록증,1
25,체도,1
26,부생,1
27,재순환,1
28,분광,1
29,행정심판,1
30,내장,1
31,커피숍,1
32,일정량,1
33,지산,1
34,홍석기,1
35,조절력,1
36,감촉,1
37,오가,1
38,스트레이트,1
39,핏,1
40,데임,1
41,통기성,1
42,인디,1
43,어깨,1
44,격자,1
45,김지혜,1
46,기획부,1
47,복종,1
48,대환,1
49,미산,1
50,파평,1
51,남하,1
52,수일,1
53,황강,1
54,승교,1
55,중망,1
56,진강,1
57,수인,1
58,성전,1
59,염병,1
60,까마귀,1
61,오소리,1
62,쥐,1
63,들고양이,1
64,모기,1
65,진드기,1
66,독차,1
67,수매,1
68,나이프,1
69,유기체,1
70,동향,1
71,고용자,1
72,취업자,1
73,남준희,1
74,굿바이,1
75,김동수,1
76,풍토,1
77,처우,1
78,수초,1
79,녹,1
80,연봉,1
81,발상,1
82,고랭지,1
83,무에,1
84,갖가지,1
85,양념,1
86,연례행사,1
87,겨울나기,1
88,개울가,1
89,언덕배기,1
90,뭉치,1
91,따위,1
92,애물단지,1
93,금수강산,1
94,박정도,1
95,사하구,1
96,박성현,1
97,류서,1
98,총생산,1
99,국제통화기금,1
100,국군,1
101,채권국,1
102,기하,1
103,창설,1
104,손색,1
105,후진성,1
106,베를린,1
107,사익,1
108,뇌물,1
109,망의,1
110,자살자,1
111,미성숙,1
112,타협,1
113,이해타산,1
114,분열,1
115,미래인,1
116,긴장,1
117,유치원,1
118,학급,1
119,외항선,1
120,부산항,1
121,최재규,1
122,간판,1
123,플렉스,1
124,정공,1
125,제회,1
126,자투리,1
127,클리프,1
128,우연정,1
129,터치,1
130,박인희,1
131,피드백,1
132,박양수,1
133,단골손님,1
134,중진국,1
135,태양열,1
136,무공,1
137,자기반성,1
138,인문,1
139,질산염,1
140,사라고사,1
141,세비야,1
142,알리칸테,1
143,양돈,1
144,김현아,1
145,자연사,1
146,외진,1
147,흑,1
148,범인,1
149,인플루엔자,1
150,강석진,1
151,전현진,1
152,데이비드,1
153,제네바,1
154,톰슨,1
155,결핵,1
156,에이즈,1
157,말라리아,1
158,브리티시컬럼비아,1
159,이중근,1
160,구체안,1
161,전폭,1
162,교,1
163,지하차도,1
164,아암대로,1
165,청학동,1
166,동춘동,1
167,단발성,1
168,김순환,1
169,공산당,1
170,명제,1
171,현대차,1
172,숯불,1
173,성급,1
174,박세영,1
175,약칭,1
176,적색,1
177,가시거리,1
178,산둥성,1
179,허난성,1
180,강철,1
181,위구르,1
182,무치,1
183,동새,1
184,크릴,1
185,클로,1
186,철퇴,1
187,발각,1
188,윈난,1
189,장시,1
190,후난,1
191,장쑤,1
192,후베이,1
193,광시좡,1
194,사부,1
195,비엔날레,1
196,김성연,1
197,바다미,1
198,술제,1
199,다층,1
200,햇살,1
201,본연,1
202,풍광,1
203,이승수,1
204,함의,1
205,연인,1
206,이별,1
207,깁슨,1
208,이경택,1
209,판매로,1
210,위생복,1
211,황영희,1
212,성교육,1
213,야심,1
214,구세주,1
215,나선,1
216,세탁물,1
217,속싸개,1
218,배냇저고리,1
219,세재,1
220,사용법,1
221,저변,1
222,공황,1
223,불경기,1
224,환율,1
