,명사,횟수
0,환경,3562
1,오염,3338
2,등,2298
3,것,1608
4,년,1533
5,수,1254
6,일,1254
7,배출,1078
8,물질,971
9,시설,838
10,지역,768
11,대기,693
12,이,679
13,월,653
14,중,636
15,말,625
16,개,592
17,조사,581
18,사업,554
19,기자,551
20,관리,545
21,활용,530
22,사용,523
23,원,510
24,정부,485
25,곳,483
26,사업장,465
27,문제,446
28,기업,445
29,플라스틱,440
30,시,438
31,계획,438
32,미군,429
33,기지,418
34,정화,418
35,반환,415
36,명,410
37,한국,407
38,만,389
39,환경부,389
40,주민,367
41,결과,364
42,발생,359
43,토양,358
44,연구,354
45,점검,353
46,기준,351
47,가능,346
48,관련,345
49,설치,342
50,개발,324
51,제품,323
52,친환경,322
53,업체,321
54,쓰레기,316
55,억,316
56,때문,314
57,이번,313
58,세계,308
59,기술,303
60,산업,302
61,운영,302
62,추진,298
63,때,296
64,공장,291
65,대상,290
66,배,289
67,내,286
68,시민,284
69,미국,281
70,진행,281
71,지난해,276
72,비용,275
73,처리,273
74,지원,272
75,발전,269
76,우리,268
77,필요,263
78,탄소,262
79,생산,261
80,폐기물,261
81,최근,258
82,수질,257
83,행위,254
84,지속,253
85,개선,252
86,해양,247
87,경우,245
88,캠프,245
89,방지,243
90,피해,239
91,데,235
92,건,234
93,단체,234
94,실시,230
95,단속,229
96,이상,226
97,코로나,225
98,차,225
99,규모,224
100,시작,222
101,예정,221
102,대표,220
103,측정,218
104,사회,215
105,자원,213
106,중국,212
107,관계자,211
108,과정,210
109,지하수,207
110,기후,205
111,위반,205
112,도시,204
113,간,204
114,감시,203
115,제공,201
116,센터,200
117,약,200
118,보호,198
119,서울,197
120,행정,194
121,물,193
122,전,193
123,앞,192
124,시장,192
125,활동,192
126,확인,191
127,부지,191
128,법,189
129,건강,188
130,불법,188
131,특별,188
132,국가,186
133,식품,186
134,우려,186
135,무단,184
136,마련,183
137,측,183
138,지구,182
139,영향,182
140,강화,182
141,시간,180
142,아이스,180
143,생태,180
144,허가,180
145,뒤,178
146,후,177
147,기사,176
148,안전,175
149,생활,174
150,변화,172
151,사고,172
152,미,171
153,제련소,171
154,먼지,171
155,전국,171
156,소재,170
157,씨,169
158,정도,169
159,정책,169
160,공사,168
161,분석,168
162,바다,167
163,에너지,167
164,경제,167
165,주변,167
166,량,167
167,이후,165
168,기간,165
169,화학,165
170,협의,164
171,국내,162
172,농도,162
173,폐수,161
174,거,159
175,사람,158
176,생각,158
177,그,158
178,천,157
179,현장,157
180,올해,156
181,주장,155
182,노력,155
183,공동,154
184,보전,154
185,처분,153
186,수거,153
187,국민,148
188,점,147
189,평가,146
190,사진,144
191,조성,144
192,책임,144
193,미세먼지,143
194,게,140
195,자연,140
